id,agenda_legislativa,comision_id,corporacion_id,activo,usercreated,usermodifed,created_at,updated_at
1,12890,10,2,1,NA,NA,NA,NA
2,12889,12,2,1,NA,NA,NA,NA
3,12888,7,2,1,NA,NA,NA,NA
4,12887,11,1,1,NA,NA,NA,NA
5,12886,5,1,1,NA,NA,NA,NA
6,12885,2,2,1,NA,NA,NA,NA
7,12884,1,1,1,NA,NA,NA,NA
8,12883,9,2,1,NA,NA,NA,NA
9,12880,1,1,1,NA,NA,NA,NA
10,12879,2,2,1,NA,NA,NA,NA
11,12878,7,2,1,NA,NA,NA,NA
12,12877,3,1,1,NA,NA,NA,NA
13,12876,6,2,1,NA,NA,NA,NA
14,12875,4,2,1,NA,NA,NA,NA
15,12874,9,2,1,NA,NA,NA,NA
16,12873,4,2,1,NA,NA,NA,NA
17,12872,7,2,1,NA,NA,NA,NA
18,12871,2,2,1,NA,NA,NA,NA
19,12870,5,1,1,NA,NA,NA,NA
20,12869,1,1,1,NA,NA,NA,NA
21,12868,12,2,1,NA,NA,NA,NA
22,12865,6,2,1,NA,NA,NA,NA
23,12864,1,1,1,NA,NA,NA,NA
24,12863,9,2,1,NA,NA,NA,NA
25,12862,13,1,1,NA,NA,NA,NA
26,12861,13,1,1,NA,NA,NA,NA
27,12859,1,1,1,NA,NA,NA,NA
28,12858,12,2,1,NA,NA,NA,NA
29,12857,13,1,1,NA,NA,NA,NA
30,12856,7,2,1,NA,NA,NA,NA
31,12855,7,2,1,NA,NA,NA,NA
32,12851,9,2,1,NA,NA,NA,NA
33,12848,6,2,1,NA,NA,NA,NA
34,12847,7,2,1,NA,NA,NA,NA
35,12844,6,2,1,NA,NA,NA,NA
36,12843,10,2,1,NA,NA,NA,NA
37,12842,12,2,1,NA,NA,NA,NA
38,12841,12,2,1,NA,NA,NA,NA
39,12840,8,1,1,NA,NA,NA,NA
40,12839,8,1,1,NA,NA,NA,NA
41,12838,3,1,1,NA,NA,NA,NA
42,12836,6,2,1,NA,NA,NA,NA
43,12834,5,1,1,NA,NA,NA,NA
44,12833,2,2,1,NA,NA,NA,NA
45,12833,14,1,1,NA,NA,NA,NA
46,12830,6,2,1,NA,NA,NA,NA
47,12829,2,2,1,NA,NA,NA,NA
48,12829,14,1,1,NA,NA,NA,NA
49,12828,1,1,1,NA,NA,NA,NA
50,12827,12,2,1,NA,NA,NA,NA
51,12824,5,1,1,NA,NA,NA,NA
52,12823,1,1,1,NA,NA,NA,NA
53,12822,9,2,1,NA,NA,NA,NA
54,12821,2,2,1,NA,NA,NA,NA
55,12821,14,1,1,NA,NA,NA,NA
56,12820,12,2,1,NA,NA,NA,NA
57,12817,2,2,1,NA,NA,NA,NA
58,12817,14,1,1,NA,NA,NA,NA
59,12816,12,2,1,NA,NA,NA,NA
60,12815,4,2,1,NA,NA,NA,NA
61,12814,11,1,1,NA,NA,NA,NA
62,12813,12,2,1,NA,NA,NA,NA
63,12813,13,1,1,NA,NA,NA,NA
64,12812,7,2,1,NA,NA,NA,NA
65,12811,5,1,1,NA,NA,NA,NA
66,12810,2,2,1,NA,NA,NA,NA
67,12809,2,2,1,NA,NA,NA,NA
68,12809,14,1,1,NA,NA,NA,NA
69,12807,12,2,1,NA,NA,NA,NA
70,12806,4,2,1,NA,NA,NA,NA
71,12804,1,1,1,NA,NA,NA,NA
72,12803,11,1,1,NA,NA,NA,NA
73,12802,7,2,1,NA,NA,NA,NA
74,12799,1,1,1,NA,NA,NA,NA
75,12797,11,1,1,NA,NA,NA,NA
76,12796,3,1,1,NA,NA,NA,NA
77,12795,5,1,1,NA,NA,NA,NA
78,12794,14,1,1,NA,NA,NA,NA
79,12793,5,1,1,NA,NA,NA,NA
80,12791,12,2,1,NA,NA,NA,NA
81,12790,4,2,1,NA,NA,NA,NA
82,12789,7,2,1,NA,NA,NA,NA
83,12786,14,1,1,NA,NA,NA,NA
84,12784,6,2,1,NA,NA,NA,NA
85,12783,3,1,1,NA,NA,NA,NA
86,12782,11,1,1,NA,NA,NA,NA
87,12781,1,1,1,NA,NA,NA,NA
88,12780,1,1,1,NA,NA,NA,NA
89,12779,13,1,1,NA,NA,NA,NA
90,12778,13,1,1,NA,NA,NA,NA
91,12777,13,1,1,NA,NA,NA,NA
92,12776,14,1,1,NA,NA,NA,NA
93,12775,5,1,1,NA,NA,NA,NA
94,12774,2,2,1,NA,NA,NA,NA
95,12773,6,2,1,NA,NA,NA,NA
96,12772,13,1,1,NA,NA,NA,NA
97,12771,7,2,1,NA,NA,NA,NA
98,12769,1,1,1,NA,NA,NA,NA
99,12768,5,1,1,NA,NA,NA,NA
100,12766,6,2,1,NA,NA,NA,NA
101,12765,12,2,1,NA,NA,NA,NA
102,12764,7,2,1,NA,NA,NA,NA
103,12763,1,1,1,NA,NA,NA,NA
104,12761,11,1,1,NA,NA,NA,NA
105,12760,13,1,1,NA,NA,NA,NA
106,12759,13,1,1,NA,NA,NA,NA
107,12758,3,1,1,NA,NA,NA,NA
108,12758,6,2,1,NA,NA,NA,NA
109,12757,11,1,1,NA,NA,NA,NA
110,12756,14,1,1,NA,NA,NA,NA
111,12754,9,2,1,NA,NA,NA,NA
112,12753,4,2,1,NA,NA,NA,NA
113,12752,8,1,1,NA,NA,NA,NA
114,12751,7,2,1,NA,NA,NA,NA
115,12750,6,2,1,NA,NA,NA,NA
116,12749,12,2,1,NA,NA,NA,NA
117,12749,13,1,1,NA,NA,NA,NA
118,12748,9,2,1,NA,NA,NA,NA
119,12747,1,1,1,NA,NA,NA,NA
120,12745,11,1,1,NA,NA,NA,NA
121,12744,11,1,1,NA,NA,NA,NA
122,12744,4,2,1,NA,NA,NA,NA
123,12743,7,2,1,NA,NA,NA,NA
124,12742,7,2,1,NA,NA,NA,NA
125,12741,5,1,1,NA,NA,NA,NA
126,12740,5,1,1,NA,NA,NA,NA
127,12736,2,2,1,NA,NA,NA,NA
128,12735,12,2,1,NA,NA,NA,NA
129,12733,1,1,1,NA,NA,NA,NA
130,12731,9,2,1,NA,NA,NA,NA
131,12730,6,2,1,NA,NA,NA,NA
132,12729,3,1,1,NA,NA,NA,NA
133,12727,12,2,1,NA,NA,NA,NA
134,12726,2,2,1,NA,NA,NA,NA
135,12725,5,1,1,NA,NA,NA,NA
136,12724,4,2,1,NA,NA,NA,NA
137,12723,1,1,1,NA,NA,NA,NA
138,12722,11,1,1,NA,NA,NA,NA
139,12721,7,2,1,NA,NA,NA,NA
140,12719,8,1,1,NA,NA,NA,NA
141,12717,1,1,1,NA,NA,NA,NA
142,12716,7,2,1,NA,NA,NA,NA
143,12715,14,1,1,NA,NA,NA,NA
144,12714,2,2,1,NA,NA,NA,NA
145,12713,6,2,1,NA,NA,NA,NA
146,12711,3,1,1,NA,NA,NA,NA
147,12710,2,2,1,NA,NA,NA,NA
148,12709,11,1,1,NA,NA,NA,NA
149,12708,5,1,1,NA,NA,NA,NA
150,12707,9,2,1,NA,NA,NA,NA
151,12706,1,1,1,NA,NA,NA,NA
152,12706,7,2,1,NA,NA,NA,NA
153,12705,7,2,1,NA,NA,NA,NA
154,12704,7,2,1,NA,NA,NA,NA
155,12703,14,1,1,NA,NA,NA,NA
156,12702,13,1,1,NA,NA,NA,NA
157,12701,13,1,1,NA,NA,NA,NA
158,12700,13,1,1,NA,NA,NA,NA
159,12698,1,1,1,NA,NA,NA,NA
160,12698,7,2,1,NA,NA,NA,NA
161,12697,14,1,1,NA,NA,NA,NA
162,12695,14,1,1,NA,NA,NA,NA
