id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
3912,29/03/2011 05:00,29/03/2011,NA,6,NA,1,NA,NA,NA,NA
3218,23/09/2009 05:00,NA,NA,2,NA,1,NA,NA,NA,NA
3234,16/09/2009 05:00,NA,NA,2,NA,1,NA,NA,NA,NA
3248,11/11/2009 05:00,NA,Plenaria,4,NA,1,NA,NA,NA,NA
3913,30/03/2011 05:00,30/03/2011,NA,6,NA,1,NA,NA,NA,NA
4023,27/04/2011 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
3914,29/03/2011 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
3511,01/12/2010 05:00,NA,Se realizó.,6,NA,1,NA,NA,NA,NA
9,10/08/2005 05:00,10/08/2005,NA,4,NA,1,NA,NA,NA,NA
10,17/08/2005 05:00,17/08/2005,NA,4,NA,1,NA,NA,NA,NA
11,31/08/2005 05:00,31/08/2005,NA,4,NA,1,NA,NA,NA,NA
12,07/09/2005 05:00,07/09/2005,NA,4,NA,1,NA,NA,NA,NA
3915,30/03/2011 05:00,30/03/2011,NA,6,NA,1,NA,NA,NA,NA
4131,17/05/2011 05:00,17/05/2011,NA,6,NA,1,NA,NA,NA,NA
3525,06/12/2010 05:00,NA,Se realizó.,6,NA,1,NA,NA,NA,NA
3917,29/03/2011 05:00,29/04/2011,NA,6,NA,1,NA,NA,NA,NA
4001,12/04/2011 05:00,12/04/2011,NA,6,NA,1,NA,NA,NA,NA
4002,12/04/2011 05:00,12/04/2011,NA,6,NA,1,NA,NA,NA,NA
4305,09/08/2011 05:00,09/08/2011,NA,6,NA,1,NA,NA,NA,NA
4003,12/04/2011 05:00,12/04/2011,NA,6,NA,1,NA,NA,NA,NA
2734,17/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
26,26/10/2005 05:00,26/10/2005,NA,4,NA,1,NA,NA,NA,NA
3538,07/12/2010 05:00,NA,Se realizó.,6,NA,1,NA,NA,NA,NA
2745,18/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
30,28/09/2005 05:00,28/09/2005,NA,4,NA,1,NA,NA,NA,NA
31,18/04/2006 05:00,18/04/2006,NA,4,NA,1,NA,NA,NA,NA
32,24/08/2005 05:00,07/09/2005,NA,4,NA,1,NA,NA,NA,NA
35,03/05/2006 05:00,03/05/2006,NA,4,NA,1,NA,NA,NA,NA
36,28/03/2006 05:00,28/03/2006,NA,4,NA,1,NA,NA,NA,NA
3970,06/04/2011 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
3971,05/04/2011 05:00,05/04/2011,NA,6,NA,1,NA,NA,NA,NA
4024,26/04/2011 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
3553,12/08/2009 05:00,NA,NA,2,NA,1,NA,NA,NA,NA
41,22/08/2006 05:00,22/08/2006,NA,2,NA,1,NA,NA,NA,NA
42,05/09/2006 05:00,12/09/2006,NA,2,NA,1,NA,NA,NA,NA
43,29/08/2006 05:00,29/08/2006,NA,2,NA,1,NA,NA,NA,NA
44,12/09/2006 05:00,12/09/2006,NA,2,NA,1,NA,NA,NA,NA
45,19/09/2006 05:00,19/09/2006,NA,2,NA,1,NA,NA,NA,NA
46,15/08/2006 05:00,15/08/2006,NA,2,NA,1,NA,NA,NA,NA
47,18/10/2006 05:00,18/10/2006,NA,2,NA,1,NA,NA,NA,NA
48,10/10/2006 05:00,10/10/2006,NA,2,NA,1,NA,NA,NA,NA
49,03/10/2006 05:00,03/10/2006,NA,2,NA,1,NA,NA,NA,NA
50,26/09/2006 05:00,26/09/2006,NA,2,NA,1,NA,NA,NA,NA
51,07/11/2006 05:00,07/11/2006,NA,2,NA,1,NA,NA,NA,NA
52,14/11/2006 05:00,14/11/2006,NA,2,NA,1,NA,NA,NA,NA
53,29/11/2006 05:00,29/11/2006,NA,2,NA,1,NA,NA,NA,NA
54,13/12/2006 05:00,13/12/2006,"Tiene orden del día aditivo en dónde se aprobaron las Actas de Conciliación de los Proyectos: 303/06C,123/05S; 8/05C, 284/06S; 154/06C, 207/05S; 260/06C 60/06S; 60/06C, 141/06S; 197/05C, 305/06S; 02/06C, 40/06S. Aprobación del Texto Rehecho del PL 205/04C, 86/05S.",2,NA,1,NA,NA,NA,NA
55,06/03/2007 05:00,06/03/2007,NA,2,NA,1,NA,NA,NA,NA
56,27/03/2007 05:00,27/03/2007,NA,2,NA,1,NA,NA,NA,NA
57,10/04/2007 05:00,17/04/2007,NA,2,NA,1,NA,NA,NA,NA
3919,30/03/2011 05:00,30/03/2011,NA,6,NA,1,NA,NA,NA,NA
59,08/11/2006 05:00,08/11/2006,No Hubo Sesión.,2,NA,1,NA,NA,NA,NA
60,01/11/2006 05:00,01/11/2006,NA,2,NA,1,NA,NA,NA,NA
61,28/03/2007 05:00,28/03/2007,NA,2,NA,1,NA,NA,NA,NA
62,28/02/2007 05:00,28/02/2007,NA,2,NA,1,NA,NA,NA,NA
63,15/08/2006 05:00,23/08/2006,NA,2,NA,1,NA,NA,NA,NA
3921,29/03/2011 05:00,29/03/2011,NA,6,NA,1,NA,NA,NA,NA
65,21/11/2007 05:00,21/11/2007,NA,2,NA,1,NA,NA,NA,NA
3922,29/03/2011 05:00,29/03/2011,NA,6,NA,1,NA,NA,NA,NA
67,09/05/2007 05:00,12/09/2007,NA,2,NA,1,NA,NA,NA,NA
2764,27/07/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
2772,24/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
70,22/05/2007 05:00,23/05/2007,NA,2,NA,1,NA,NA,NA,NA
2779,24/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
1173,07/10/2008 05:00,NA,NA,2,NA,1,NA,NA,NA,NA
73,13/11/2007 05:00,13/11/2007,NA,2,NA,1,NA,NA,NA,NA
2786,25/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
2790,31/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
2798,31/08/2010 05:00,NA,NA,6,NA,1,NA,NA,NA,NA
