id,cuatrienio_id,corporacion_id,congresista_id,cargo_legislativo_id,fecha_inicio,fecha_final,activo,usercreated,usermodifed,created_at,updated_at
1,2,2,1121,2,20/07/2006,20/06/2007,1,,,32:13.9,32:13.9
2,2,2,988,1,20/07/2006,20/06/2007,1,,,32:13.9,32:13.9
3,2,2,1323,1,20/07/2006,20/06/2007,1,,,32:14.0,32:14.0
4,2,2,975,2,20/07/2007,20/06/2008,1,,,32:14.0,32:14.0
5,2,2,1405,1,20/07/2007,20/06/2008,1,,,32:14.0,32:14.0
6,2,2,1009,1,20/07/2007,20/06/2008,1,,,32:14.1,32:14.1
7,2,2,1414,2,20/07/2008,20/06/2009,1,,,32:14.1,32:14.1
8,2,2,1122,1,20/07/2008,20/06/2009,1,,,32:14.1,32:14.1
9,2,2,1358,1,20/07/2008,20/06/2009,1,,,32:14.4,32:14.4
10,2,2,1454,2,20/07/2009,20/06/2010,1,,,32:14.4,32:14.4
11,2,2,1470,1,20/07/2009,20/06/2010,1,,,32:14.4,32:14.4
12,6,1,1598,2,20/07/2010,19/07/2011,1,,,32:14.7,32:14.7
13,6,2,1579,2,20/07/2010,19/07/2011,1,,,32:14.7,32:14.7
14,6,1,1658,1,20/07/2010,19/07/2011,1,,,32:14.8,32:14.8
15,6,1,1726,1,20/07/2010,19/07/2011,1,,,32:14.8,32:14.8
16,6,2,1844,1,20/07/2010,19/07/2011,1,,,32:14.8,32:14.8
17,6,2,1625,1,20/07/2010,19/07/2011,1,,,32:14.8,32:14.8
18,4,1,762,2,20/07/2002,19/07/2003,1,,,20:20.7,21:04.8
19,4,1,819,2,20/07/2003,19/07/2004,1,,,22:45.7,25:18.5
20,4,2,1435,2,20/07/2002,19/07/2003,1,,,24:37.4,24:41.8
21,4,2,1443,2,20/07/2003,19/07/2004,1,,,25:56.9,26:00.4
22,4,2,738,1,20/07/2002,19/07/2003,1,,,34:43.0,34:47.8
23,4,2,838,1,20/07/2002,19/07/2003,1,,,40:17.2,40:17.2
25,4,1,715,1,20/07/2002,19/07/2003,1,,,42:32.7,42:32.7
24,4,1,692,1,20/07/2002,19/07/2003,1,,,41:45.9,42:51.4
26,4,2,841,1,20/07/2003,19/07/2004,1,,,45:07.6,45:07.6
27,4,2,805,1,20/07/2003,19/07/2004,1,,,46:15.2,46:15.2
28,4,1,1491,1,20/07/2003,19/07/2004,1,,,47:06.3,47:06.3
29,4,1,536,1,20/07/2003,19/07/2004,1,,,57:12.3,57:12.3
30,4,2,676,2,20/07/2004,19/07/2005,1,,,58:19.2,58:19.2
31,4,2,1395,1,20/07/2004,19/07/2005,1,,,01:52.5,01:52.5
32,4,2,743,1,20/07/2004,19/07/2005,1,,,15:42.0,15:42.0
33,4,1,645,2,20/07/2004,19/07/2005,1,,,19:22.3,19:22.3
34,4,1,707,1,20/07/2004,19/07/2005,1,,,22:41.8,22:41.8
35,4,1,1466,1,20/07/2004,19/07/2005,1,,,23:50.3,23:50.3
36,4,2,633,2,20/07/2005,19/07/2006,1,,,28:14.2,28:14.2
