id,nombre,departamento_id,activo,usercreated,usermodified,create_at,updated_at
38,Circunscripción Especial de Minorias Políticas,NA,1,,,,
37,Circunscripción Especial por Comunidades Afrocolombianas,NA,1,,,,
39,Circunscripción Internacional (Colombianos Residentes en el Exterior),NA,1,,,,
35,Circunscripción Nacional,NA,1,,,,
7,Circunscripción Territorial de Bolívar,6,1,,,,
8,Circunscripción Territorial de Boyacá,7,1,,,,
10,Circunscripción Territorial de Caldas,8,1,,,,
13,Circunscripción Territorial de Caquetá,9,1,,,,
11,Circunscripción Territorial de Casanare,10,1,,,,
9,Circunscripción Territorial de Cauca,11,1,,,,
15,Circunscripción Territorial de Cesar,12,1,,,,
14,Circunscripción Territorial de Chocó,13,1,,,,
16,Circunscripción Territorial de Córdoba,14,1,,,,
12,Circunscripción Territorial de Cundinamarca,15,1,,,,
18,Circunscripción Territorial de Guainía,16,1,,,,
19,Circunscripción Territorial de Guaviare,17,1,,,,
20,Circunscripción Territorial de Huila,18,1,,,,
17,Circunscripción Territorial de La Guajira,19,1,,,,
22,Circunscripción Territorial de Magdalena,20,1,,,,
21,Circunscripción Territorial de Meta,22,1,,,,
23,Circunscripción Territorial de Nariño,23,1,,,,
25,Circunscripción Territorial de Putumayo,25,1,,,,
30,Circunscripción Territorial de Quindío,26,1,,,,
26,Circunscripción Territorial de Risaralda,27,1,,,,
27,Circunscripción Territorial de San Andrés y Providencia,28,1,,,,
28,Circunscripción Territorial de Santander,29,1,,,,
29,Circunscripción Territorial de Sucre,30,1,,,,
33,Circunscripción Territorial de Vaupés,33,1,,,,
32,Circunscripción Territorial de Vichada,34,1,,,,
36,Circunscripción Especial por Comunidades Indígenas,NA,1,,,,
4,Circunscripción Territorial de Amazonas,2,1,,,,
3,Circunscripción Territorial de Antioquia,3,1,,,,
2,Circunscripción Territorial de Atlántico,5,1,,,,
24,Circunscripción Territorial de Norte de Santander,24,1,,,,
34,Circunscripción Territorial de Tolima,31,1,,,,
1,Circunscripción Territorial de Bogotá,1,1,,,,
5,Circunscripción Territorial de Arauca,4,1,,,,
31,Circunscripción Territorial de Valle del Cauca,32,1,,,,
