id,persona_id,corporacion_id,cuatrienio_id,partido_id,curul_id,circunscripcion_id,departamento_id_mayor_votacion,activo,usercreated,usermodified,create_at,updated_at
55,375,2,1,2,NA,19,17,1,,,,
49,367,2,1,4,NA,31,32,1,,,,
200,586,1,1,74,NA,35,5,1,,,,
138,488,2,1,4,NA,17,19,1,,,,
34,342,2,1,2,NA,27,28,1,,,,
371,829,2,1,4,NA,31,32,1,,,,
2055,829,2,1,4,NA,31,32,1,,,,
2054,829,2,1,4,NA,31,32,1,,,,
158,517,2,1,40,NA,29,30,1,,,,
1946,517,2,1,40,NA,29,30,1,,,,
2040,517,2,1,40,NA,29,30,1,,,,
78,405,2,1,91,NA,31,32,1,,,,
65,389,2,1,5,NA,1,1,1,,,,
170,537,1,1,2,NA,35,6,1,,,,
29,336,2,1,2,NA,3,3,1,,,,
1850,336,2,4,2,NA,3,3,1,,,,
512,1033,2,1,2,NA,30,26,1,,,,
83,412,2,1,74,NA,10,8,1,,,,
657,619,2,4,2,NA,3,3,1,,,,
1858,619,2,4,2,NA,3,3,1,,,,
627,534,2,4,4,NA,23,23,1,,,,
192,575,2,1,2,NA,12,15,1,,,,
149,504,2,1,70,NA,31,32,1,,,,
134,480,2,1,2,NA,1,1,1,,,,
1546,2224,2,4,3,NA,3,3,1,,,,
234,640,1,1,2,NA,35,15,1,,,,
223,618,1,1,2,NA,35,31,1,,,,
136,486,1,1,74,NA,35,5,1,,,,
1066,164,2,2,3,NA,8,7,1,,,,
53,371,1,1,74,NA,35,5,1,,,,
261,675,1,1,4,NA,35,18,1,,,,
348,795,2,1,2,NA,34,31,1,,,,
214,606,2,1,4,NA,12,15,1,,,,
923,1140,1,4,28,NA,35,1,1,,,,
221,616,2,1,2,NA,34,31,1,,,,
545,354,2,4,1,NA,28,29,1,,,,
178,552,2,1,2,NA,14,13,1,,,,
2045,552,2,1,2,NA,14,13,1,,,,
884,1091,1,4,2,NA,35,15,1,,,,
1378,1091,1,1,2,NA,35,15,1,,,,
394,861,2,1,38,NA,3,3,1,,,,
280,703,1,1,2,NA,35,3,1,,,,
2003,703,1,1,2,NA,35,3,1,,,,
270,685,2,1,2,NA,22,20,1,,,,
168,533,2,1,61,NA,7,6,1,,,,
