id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
1,5150,16898,NA,1,1,NA,NA,NA,NA
2,5150,17163,NA,1,1,NA,NA,NA,NA
3,5150,17278,NA,1,1,NA,NA,NA,NA
4,5150,17279,NA,1,1,NA,NA,NA,NA
5,5149,16935,2,0,1,NA,NA,NA,NA
6,5149,16904,1,1,1,NA,NA,NA,NA
7,5149,17110,NA,0,1,NA,NA,NA,NA
8,5149,17116,2,1,1,NA,NA,NA,NA
9,5148,17007,2,1,1,NA,NA,NA,NA
10,5148,17251,2,1,1,NA,NA,NA,NA
11,5147,17099,1,1,1,NA,NA,NA,NA
12,5146,14659,2,1,1,NA,NA,NA,NA
13,5146,16898,1,1,1,NA,NA,NA,NA
14,5146,16937,1,1,1,NA,NA,NA,NA
15,5146,16904,1,1,1,NA,NA,NA,NA
16,5146,17116,1,1,1,NA,NA,NA,NA
17,5146,17163,1,1,1,NA,NA,NA,NA
18,5145,16938,1,1,1,NA,NA,NA,NA
19,5145,17205,1,1,1,NA,NA,NA,NA
20,5144,14659,2,1,1,NA,NA,NA,NA
21,5144,17052,1,1,1,NA,NA,NA,NA
22,5144,15130,5,1,1,NA,NA,NA,NA
23,5144,17079,NA,0,1,NA,NA,NA,NA
24,5144,17240,2,1,1,NA,NA,NA,NA
25,5140,17071,NA,1,1,NA,NA,NA,NA
26,5140,15130,NA,1,1,NA,NA,NA,NA
27,5139,16935,NA,1,1,NA,NA,NA,NA
28,5139,16987,NA,1,1,NA,NA,NA,NA
29,5139,16996,NA,1,1,NA,NA,NA,NA
30,5139,17163,NA,1,1,NA,NA,NA,NA
31,5138,16703,NA,0,1,NA,NA,NA,NA
32,5138,16935,NA,0,1,NA,NA,NA,NA
33,5138,17110,NA,0,1,NA,NA,NA,NA
34,5138,17119,NA,1,1,NA,NA,NA,NA
35,5138,17218,NA,0,1,NA,NA,NA,NA
36,5138,17234,NA,0,1,NA,NA,NA,NA
37,5137,16703,NA,0,1,NA,NA,NA,NA
38,5137,16916,NA,1,1,NA,NA,NA,NA
39,5137,16935,NA,0,1,NA,NA,NA,NA
40,5137,17107,NA,1,1,NA,NA,NA,NA
41,5137,17110,NA,0,1,NA,NA,NA,NA
42,5137,17234,NA,0,1,NA,NA,NA,NA
43,5137,17252,NA,0,1,NA,NA,NA,NA
44,5136,16703,NA,0,1,NA,NA,NA,NA
45,5136,16935,NA,0,1,NA,NA,NA,NA
46,5136,17110,NA,0,1,NA,NA,NA,NA
47,5136,17119,NA,1,1,NA,NA,NA,NA
48,5136,17218,NA,0,1,NA,NA,NA,NA
49,5136,17234,NA,0,1,NA,NA,NA,NA
50,5135,16970,NA,1,1,NA,NA,NA,NA
51,5134,17071,2,1,1,NA,NA,NA,NA
52,5134,17119,1,1,1,NA,NA,NA,NA
53,5134,15130,2,1,1,NA,NA,NA,NA
54,5133,17240,NA,1,1,NA,NA,NA,NA
55,5133,17274,NA,0,1,NA,NA,NA,NA
56,5132,15773,NA,0,1,NA,NA,NA,NA
57,5132,15775,NA,0,1,NA,NA,NA,NA
58,5132,15506,1,0,1,NA,NA,NA,NA
59,5132,16964,1,0,1,NA,NA,NA,NA
60,5132,17091,2,0,1,NA,NA,NA,NA
61,5132,17116,1,0,1,NA,NA,NA,NA
62,5132,17120,1,0,1,NA,NA,NA,NA
63,5132,15130,2,0,1,NA,NA,NA,NA
64,5131,17071,NA,0,1,NA,NA,NA,NA
65,5131,17099,NA,0,1,NA,NA,NA,NA
66,5131,17182,NA,0,1,NA,NA,NA,NA
67,5131,17250,NA,0,1,NA,NA,NA,NA
68,5131,17275,NA,0,1,NA,NA,NA,NA
69,5131,17276,NA,0,1,NA,NA,NA,NA
70,5131,15352,NA,0,1,NA,NA,NA,NA
71,5130,16703,NA,0,1,NA,NA,NA,NA
72,5130,16935,NA,0,1,NA,NA,NA,NA
73,5130,17110,NA,0,1,NA,NA,NA,NA
74,5130,17119,NA,1,1,NA,NA,NA,NA
75,5130,17218,NA,0,1,NA,NA,NA,NA
76,5130,17234,NA,0,1,NA,NA,NA,NA
77,5128,2521,NA,0,1,NA,NA,NA,NA
78,5128,14869,NA,0,1,NA,NA,NA,NA
79,5128,17071,NA,0,1,NA,NA,NA,NA
80,5128,17135,NA,0,1,NA,NA,NA,NA
81,5127,14659,NA,1,1,NA,NA,NA,NA
82,5127,2521,NA,0,1,NA,NA,NA,NA
83,5127,16703,NA,0,1,NA,NA,NA,NA
84,5127,16935,NA,0,1,NA,NA,NA,NA
85,5127,16937,NA,1,1,NA,NA,NA,NA
86,5127,15130,NA,1,1,NA,NA,NA,NA
87,5126,16978,NA,1,1,NA,NA,NA,NA
88,5126,17110,NA,1,1,NA,NA,NA,NA
89,5126,17209,NA,1,1,NA,NA,NA,NA
90,5126,17240,NA,1,1,NA,NA,NA,NA
91,5125,17029,1,1,1,NA,NA,NA,NA
92,5124,17115,1,0,1,NA,NA,NA,NA
