id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
139,32,439,1,NA,NA,NA,NA
155,1208,24,1,NA,NA,NA,NA
156,1208,1349,1,NA,NA,NA,NA
157,1208,546,1,NA,NA,NA,NA
158,1208,602,1,NA,NA,NA,NA
159,1208,155,1,NA,NA,NA,NA
160,1208,650,1,NA,NA,NA,NA
161,1208,653,1,NA,NA,NA,NA
162,1208,228,1,NA,NA,NA,NA
163,1208,251,1,NA,NA,NA,NA
164,1208,271,1,NA,NA,NA,NA
165,1208,319,1,NA,NA,NA,NA
166,1208,405,1,NA,NA,NA,NA
167,1208,429,1,NA,NA,NA,NA
168,1208,463,1,NA,NA,NA,NA
169,1208,481,1,NA,NA,NA,NA
170,1208,1602,1,NA,NA,NA,NA
171,1208,840,1,NA,NA,NA,NA
172,1208,1822,1,NA,NA,NA,NA
173,33,304,1,NA,NA,NA,NA
174,33,840,1,NA,NA,NA,NA
175,33,863,1,NA,NA,NA,NA
197,1183,548,1,NA,NA,NA,NA
198,1183,1465,1,NA,NA,NA,NA
199,1183,155,1,NA,NA,NA,NA
200,1183,1718,1,NA,NA,NA,NA
201,1183,745,1,NA,NA,NA,NA
202,1183,1469,1,NA,NA,NA,NA
203,1183,1967,1,NA,NA,NA,NA
204,1183,1206,1,NA,NA,NA,NA
205,1183,1720,1,NA,NA,NA,NA
206,1183,1719,1,NA,NA,NA,NA
229,26,1452,1,NA,NA,NA,NA
230,26,1465,1,NA,NA,NA,NA
231,26,1497,1,NA,NA,NA,NA
232,26,602,1,NA,NA,NA,NA
233,26,615,1,NA,NA,NA,NA
234,26,1206,1,NA,NA,NA,NA
248,19,1718,1,NA,NA,NA,NA
249,19,1469,1,NA,NA,NA,NA
558,15,543,1,NA,NA,NA,NA
559,15,638,1,NA,NA,NA,NA
560,15,429,1,NA,NA,NA,NA
601,87,1034,1,NA,NA,NA,NA
631,85,1129,1,NA,NA,NA,NA
632,85,746,1,NA,NA,NA,NA
633,85,1664,1,NA,NA,NA,NA
645,83,1352,1,NA,NA,NA,NA
646,83,1612,1,NA,NA,NA,NA
647,83,1244,1,NA,NA,NA,NA
652,82,1443,1,NA,NA,NA,NA
653,82,766,1,NA,NA,NA,NA
654,82,1415,1,NA,NA,NA,NA
655,82,1370,1,NA,NA,NA,NA
656,82,979,1,NA,NA,NA,NA
657,82,1441,1,NA,NA,NA,NA
658,82,1352,1,NA,NA,NA,NA
659,82,1612,1,NA,NA,NA,NA
660,82,1059,1,NA,NA,NA,NA
661,82,876,1,NA,NA,NA,NA
662,82,2079,1,NA,NA,NA,NA
668,88,1034,1,NA,NA,NA,NA
669,84,766,1,NA,NA,NA,NA
683,77,194,1,NA,NA,NA,NA
684,79,1351,1,NA,NA,NA,NA
728,1038,1374,1,NA,NA,NA,NA
729,1038,1401,1,NA,NA,NA,NA
2664,1209,501,1,NA,NA,NA,NA
2665,248,732,1,NA,NA,NA,NA
2666,248,501,1,NA,NA,NA,NA
2667,248,856,1,NA,NA,NA,NA
2733,268,631,1,NA,NA,NA,NA
2734,268,820,1,NA,NA,NA,NA
2735,268,501,1,NA,NA,NA,NA
2736,268,1395,1,NA,NA,NA,NA
2768,264,1157,1,NA,NA,NA,NA
2769,264,1718,1,NA,NA,NA,NA
2770,264,1188,1,NA,NA,NA,NA
2771,264,1206,1,NA,NA,NA,NA
2772,264,1719,1,NA,NA,NA,NA
2794,263,1186,1,NA,NA,NA,NA
2796,265,1430,1,NA,NA,NA,NA
2797,267,802,1,NA,NA,NA,NA
2798,267,519,1,NA,NA,NA,NA
2806,266,737,1,NA,NA,NA,NA
2808,260,238,1,NA,NA,NA,NA
2809,260,1469,1,NA,NA,NA,NA
2810,262,238,1,NA,NA,NA,NA
2811,262,1469,1,NA,NA,NA,NA
2812,261,195,1,NA,NA,NA,NA
2822,230,859,1,NA,NA,NA,NA
2823,235,1452,1,NA,NA,NA,NA
2824,235,641,1,NA,NA,NA,NA
2825,235,703,1,NA,NA,NA,NA
2826,236,1193,1,NA,NA,NA,NA
2827,236,239,1,NA,NA,NA,NA
2828,236,1676,1,NA,NA,NA,NA
2839,234,1384,1,NA,NA,NA,NA
2840,234,602,1,NA,NA,NA,NA
2841,234,2073,1,NA,NA,NA,NA
2858,237,744,1,NA,NA,NA,NA
2859,237,745,1,NA,NA,NA,NA
2860,237,2073,1,NA,NA,NA,NA
2894,233,439,1,NA,NA,NA,NA
2896,232,961,1,NA,NA,NA,NA
3360,290,602,1,NA,NA,NA,NA
3361,290,1687,1,NA,NA,NA,NA
3362,290,405,1,NA,NA,NA,NA
3383,291,714,1,NA,NA,NA,NA
3451,518,1443,1,NA,NA,NA,NA
3452,518,194,1,NA,NA,NA,NA
3453,518,1129,1,NA,NA,NA,NA
3454,518,736,1,NA,NA,NA,NA
3455,518,1407,1,NA,NA,NA,NA
3456,518,1322,1,NA,NA,NA,NA
3457,518,979,1,NA,NA,NA,NA
3458,518,1503,1,NA,NA,NA,NA
3459,518,1811,1,NA,NA,NA,NA
3460,518,1813,1,NA,NA,NA,NA
3461,518,1023,1,NA,NA,NA,NA
3462,518,1401,1,NA,NA,NA,NA
3463,518,1066,1,NA,NA,NA,NA
3464,518,1070,1,NA,NA,NA,NA
3465,518,1353,1,NA,NA,NA,NA
3466,518,1269,1,NA,NA,NA,NA
3517,1073,1201,1,NA,NA,NA,NA
3518,1073,1501,1,NA,NA,NA,NA
3519,1073,1157,1,NA,NA,NA,NA
3520,1073,1718,1,NA,NA,NA,NA
3521,1073,726,1,NA,NA,NA,NA
3522,1073,737,1,NA,NA,NA,NA
3523,1073,1179,1,NA,NA,NA,NA
3524,1073,859,1,NA,NA,NA,NA
3525,1073,1595,1,NA,NA,NA,NA
3526,1073,1206,1,NA,NA,NA,NA
3527,1073,1719,1,NA,NA,NA,NA
3528,1073,1704,1,NA,NA,NA,NA
3529,1073,1236,1,NA,NA,NA,NA
3626,328,1193,1,NA,NA,NA,NA
3627,328,1707,1,NA,NA,NA,NA
3645,329,830,1,NA,NA,NA,NA
3689,327,1465,1,NA,NA,NA,NA
3693,326,1395,1,NA,NA,NA,NA
3694,326,1637,1,NA,NA,NA,NA
3695,326,1612,1,NA,NA,NA,NA
3697,289,1367,1,NA,NA,NA,NA
3698,289,1032,1,NA,NA,NA,NA
3699,289,747,1,NA,NA,NA,NA
3700,289,1415,1,NA,NA,NA,NA
3701,289,1712,1,NA,NA,NA,NA
3702,289,991,1,NA,NA,NA,NA
3703,289,1400,1,NA,NA,NA,NA
3725,325,765,1,NA,NA,NA,NA
3898,333,1788,1,NA,NA,NA,NA
3903,1025,738,1,NA,NA,NA,NA
3904,1025,1352,1,NA,NA,NA,NA
3910,1024,1718,1,NA,NA,NA,NA
3913,1022,1710,1,NA,NA,NA,NA
3914,1023,1422,1,NA,NA,NA,NA
3915,1019,1430,1,NA,NA,NA,NA
3939,1020,1452,1,NA,NA,NA,NA
3940,1021,1469,1,NA,NA,NA,NA
3942,1021,1104,1,NA,NA,NA,NA
3943,1021,1198,1,NA,NA,NA,NA
3944,1021,1462,1,NA,NA,NA,NA
3955,408,1480,1,NA,NA,NA,NA
3956,408,155,1,NA,NA,NA,NA
3957,408,235,1,NA,NA,NA,NA
3958,408,429,1,NA,NA,NA,NA
3960,402,1477,1,NA,NA,NA,NA
3961,402,1495,1,NA,NA,NA,NA
3962,402,604,1,NA,NA,NA,NA
3963,402,1664,1,NA,NA,NA,NA
3964,402,1395,1,NA,NA,NA,NA
3965,402,1363,1,NA,NA,NA,NA
3966,402,1637,1,NA,NA,NA,NA
3967,402,1118,1,NA,NA,NA,NA
3968,402,1244,1,NA,NA,NA,NA
4108,950,1422,1,NA,NA,NA,NA
4109,950,1480,1,NA,NA,NA,NA
4110,950,1237,1,NA,NA,NA,NA
4137,949,1563,1,NA,NA,NA,NA
4138,949,1294,1,NA,NA,NA,NA
4139,949,1349,1,NA,NA,NA,NA
4140,949,590,1,NA,NA,NA,NA
4147,952,548,1,NA,NA,NA,NA
4148,952,1351,1,NA,NA,NA,NA
4151,370,1341,1,NA,NA,NA,NA
4168,371,238,1,NA,NA,NA,NA
4169,371,1185,1,NA,NA,NA,NA
4170,371,1198,1,NA,NA,NA,NA
4171,371,1469,1,NA,NA,NA,NA
4172,371,1462,1,NA,NA,NA,NA
4173,371,1104,1,NA,NA,NA,NA
4174,371,793,1,NA,NA,NA,NA
4175,371,752,1,NA,NA,NA,NA
4177,365,1309,1,NA,NA,NA,NA
4273,1044,543,1,NA,NA,NA,NA
4274,368,1495,1,NA,NA,NA,NA
4275,368,1664,1,NA,NA,NA,NA
4276,368,1612,1,NA,NA,NA,NA
4283,429,1354,1,NA,NA,NA,NA
4360,417,238,1,NA,NA,NA,NA
4361,417,1426,1,NA,NA,NA,NA
4376,430,772,1,NA,NA,NA,NA
4380,1045,1143,1,NA,NA,NA,NA
4381,1045,1427,1,NA,NA,NA,NA
4382,1045,1676,1,NA,NA,NA,NA
4383,1045,1179,1,NA,NA,NA,NA
4384,1045,815,1,NA,NA,NA,NA
4385,1045,744,1,NA,NA,NA,NA
4386,1045,1193,1,NA,NA,NA,NA
4387,1045,1237,1,NA,NA,NA,NA
4388,1045,615,1,NA,NA,NA,NA
4389,1045,1430,1,NA,NA,NA,NA
4390,386,1351,1,NA,NA,NA,NA
4429,372,1053,1,NA,NA,NA,NA
4430,372,1090,1,NA,NA,NA,NA
4431,372,1370,1,NA,NA,NA,NA
4432,372,1437,1,NA,NA,NA,NA
4480,384,1,1,NA,NA,NA,NA
4489,947,1157,1,NA,NA,NA,NA
4490,427,726,1,NA,NA,NA,NA
4491,427,1206,1,NA,NA,NA,NA
4492,427,1157,1,NA,NA,NA,NA
4507,418,1718,1,NA,NA,NA,NA
4508,1084,1206,1,NA,NA,NA,NA
4509,534,726,1,NA,NA,NA,NA
4510,534,1206,1,NA,NA,NA,NA
4511,534,1157,1,NA,NA,NA,NA
4517,385,405,1,NA,NA,NA,NA
4518,946,2073,1,NA,NA,NA,NA
4519,946,1687,1,NA,NA,NA,NA
4522,412,1206,1,NA,NA,NA,NA
4523,409,1595,1,NA,NA,NA,NA
4524,407,1501,1,NA,NA,NA,NA
4525,945,1612,1,NA,NA,NA,NA
4526,945,1352,1,NA,NA,NA,NA
4527,945,1679,1,NA,NA,NA,NA
4528,528,737,1,NA,NA,NA,NA
4529,528,1501,1,NA,NA,NA,NA
4530,528,1718,1,NA,NA,NA,NA
4531,523,737,1,NA,NA,NA,NA
4532,523,1501,1,NA,NA,NA,NA
4533,523,726,1,NA,NA,NA,NA
4536,420,1016,1,NA,NA,NA,NA
4537,420,1762,1,NA,NA,NA,NA
4539,420,1126,1,NA,NA,NA,NA
4540,420,1464,1,NA,NA,NA,NA
4544,1130,619,1,NA,NA,NA,NA
4545,1130,1762,1,NA,NA,NA,NA
4547,421,1443,1,NA,NA,NA,NA
4548,421,1503,1,NA,NA,NA,NA
4549,421,1401,1,NA,NA,NA,NA
4550,421,1129,1,NA,NA,NA,NA
4551,421,1811,1,NA,NA,NA,NA
4552,421,736,1,NA,NA,NA,NA
4553,1082,1128,1,NA,NA,NA,NA
4554,1082,992,1,NA,NA,NA,NA
4555,1082,1743,1,NA,NA,NA,NA
4556,1082,1260,1,NA,NA,NA,NA
4557,1082,231,1,NA,NA,NA,NA
4558,1082,1264,1,NA,NA,NA,NA
4559,1082,961,1,NA,NA,NA,NA
