id|agenda_legislativa_actividad_id|cuatrienio_id|legislatura_id|tipo_control_politico_id|estado_control_politico_id|titulo|fecha|tema_principal_id|tema_secundario_id|plenaria|tags|detalles|gacetas|numero_proposicion|activo|usercreated|usermodifed|created_at|updated_at
1|120|2|NA|1|NA|Debatir sobre  la injerencia de los factores delincuenciales en los procesos electorales.|NA|101|NA|TRUE|NA|NA|NA|57|NA|NA|NA|NA|NA
2|113|2|NA|1|NA|Debate sobre servicios públicos domiciliarios|NA|38|38|TRUE|servicios públicos|NA|NA|17|NA|NA|NA|NA|NA
3|106|2|NA|1|NA|Debatir sobre la situación del rio Magdalena|NA|3|NA|TRUE|NA|NA|NA|255|NA|NA|NA|NA|NA
4|18738|6|NA|1|NA|Debatir la situación de la minería en Colombia y, especialmente, de la pequeña minería|NA|56|3|FALSE|Minería, pequeña minería, medio ambiente|NA|22-nov|NA|NA|NA|NA|NA|NA
5|23|4|NA|1|NA|Administración del Servicio Exterior de la República.|NA|108|124|TRUE|Servicio Exterior de la República|<p>No se Realizo</p>|NA|17|NA|NA|NA|NA|NA
6|19069|2|NA|2|NA|Por el cual se modifican parcialmente las leyes 785 y 793 de 2002 y se dictan otras disposiciones. (extinción de dominio)|NA|122|122|FALSE|Extinción de dominio|NA|NA|NA|NA|NA|NA|NA|NA
7|19684|6|17|1|NA|Para explicar las políticas de gestión a desarrollar a raíz de la creación de Colpensiones|15/09/2010|10|NA|FALSE|pensiones, colpensiones|NA|NA|16-oct|NA|NA|NA|NA|NA
8|20448|6|NA|3|NA|Discutir los avances de la estrategia empresarial de ECOPETROL.|NA|56|41|FALSE|ECOPETROL, empresa colombiana de petróleos, estrategia empresarial.|NA|NA|NA|NA|NA|NA|NA|NA
9|23639|2|NA|1|NA|Debate sobre resultados de la gestión del Ministerio de Minas en marco de los tratados comerciales internacionales.|NA|56|108|FALSE|TLC, Minas,|NA|NA|NA|NA|NA|NA|NA|NA
10|21|4|NA|1|NA|Situación de empresas de telecomunicaciones.|NA|38|53|TRUE|telecomunicaciones|Se Realizó. A ser transmitida por el Canal Institucional.|NA|53 y aditivas|NA|NA|NA|NA|NA
11|22|4|NA|1|NA|Situación general del Departamento  Archipiélago de San Andrés, Providencia y Santa Catalina.|NA|64|5|TRUE|San Andrés, Providencia, Santa Catalina|Se realizó. A ser transmitido por Canal Institucional|NA|83|NA|NA|NA|NA|NA
12|43|4|NA|1|NA|Sobre el estado actual, los dilemas, retos y oportunidades de las políticas para combatir la pobreza y el desempleo en Colombia.|NA|116|22|TRUE|pobreza, desempleo|NA|NA|1|NA|NA|NA|NA|NA
13|4485|2|NA|1|NA|Discutir la seguridad en las ciudades capitales del país|NA|123|119|FALSE|seguridad|NA|NA|None|NA|NA|NA|NA|NA
14|145|2|NA|1|NA|Evaluación de la política antidrogas del Gobierno Nacional.|NA|10|122|TRUE|antidrogas, drogas|NA|NA|43|NA|NA|NA|NA|NA
15|109|2|NA|1|NA|Situación del Banco de la República, pronósticos macroeconómicos, manejo de la inflación, entre otras.|NA|NA|NA|TRUE|NA|adcionalmente se invitaron a todos los demás miembros de la Junta Directiva del Banco de la República|NA|307|NA|NA|NA|NA|NA
16|94|2|NA|1|NA|Impacto del TLC con Estados Unidos en la economía nacional|NA|NA|NA|TRUE|NA|NA|NA|19|NA|NA|NA|NA|NA
17|93|2|NA|1|NA|Responsabilidad del Presidente de la Republica en el desarrollo de las AUC en Antioquia y el desempeño de las Cooperativas de seguridad Convivir.|NA|NA|NA|TRUE|NA|NA|NA|269|NA|NA|NA|NA|NA
18|98|2|NA|1|NA|Medidas de Orden Público adoptadas en Bogotá con motivo de la visita del presidente de los Estados Unidos.|NA|108|123|TRUE|Presidente Estados Unidos|NA|NA|100|NA|NA|NA|NA|NA
19|91|2|NA|1|NA|Relaciones entre dirigentes políticos y paramilitares|NA|NA|NA|TRUE|NA|NA|NA|264|NA|NA|NA|NA|NA
20|90|2|13|1|NA|Situación de los trasladados de la Ceja a la carcel de Itagüi.|05/12/2006|119|123|TRUE|Ceja, Itagüi|NA|NA|92|NA|NA|NA|NA|NA
21|88|2|NA|1|NA|Alcances del acuerdo logrado con la firma COMMSA|NA|100|NA|TRUE|COMMSA|Aplazado.|NA|97|NA|NA|NA|NA|NA
22|80|2|NA|1|NA|Balance y perspectivas de los resultados agropecuarios|NA|8|NA|TRUE|resultados agropecuarios|NA|NA|120|NA|NA|NA|NA|NA
23|81|2|NA|1|NA|Pronunciamiento del Gobierno Nacional de reestructurar el Instituto de Seguro Social (ISS), con la posibilidad de generar tres nuevas empresas|NA|10|NA|TRUE|ISS|NA|NA|21|NA|NA|NA|NA|NA
24|82|2|NA|1|NA|Cobertura y recursos de sistema nacional de salud|NA|10|NA|TRUE|sistema nacional de salud|NA|NA|17|NA|NA|NA|NA|NA
25|76|2|NA|1|NA|Prácticas restrictivas en la industria del cemento|NA|73|NA|TRUE|cemento|NA|NA|46|NA|NA|NA|NA|NA
26|83|2|NA|1|NA|"Plan de desarrollo ""Hacia un Estado Comunitario 2002-2006"""|NA|NA|NA|TRUE|NA|NA|NA|41|NA|NA|NA|NA|NA
27|84|2|NA|1|NA|Problemática de la supresión y liquidación de las empresas sociales del estado-ESE, creadas por el decreto Ley 1750 de 2003, situación que ha generado la llamada crisis general del Seguro Social|NA|NA|NA|TRUE|NA|NA|NA|24|NA|NA|NA|NA|NA
28|77|2|NA|1|NA|Reestructuración del Instituto del Seguro Social|NA|NA|NA|TRUE|NA|NA|NA|21|NA|NA|NA|NA|NA
29|75|2|NA|1|NA|Cobertura en salud e inversión de recursos.|NA|NA|NA|TRUE|NA|NA|NA|17|NA|NA|NA|NA|NA
30|73|2|NA|1|NA|"Plan de desarrollo ""Hacia un Estado Comunitario 2002- 2006"""|NA|119|NA|TRUE|Hacia un Estado Comunitario|Transmisión por Señal Colombia.|NA|41|NA|NA|NA|NA|NA
31|72|2|NA|1|NA|Convenios realizados con Fonade y recursos de inversión de las vigencias 2004-2005|NA|NA|NA|TRUE|NA|NA|NA|2|NA|NA|NA|NA|NA
32|57|4|NA|1|NA|Informe sobre como el Gobierno Nacional ejerce la inspección, vigilancia y control para que las asociadas y/o compañias petroleras le garanticen a las entidades territoriales la retribución de las compensaciones ambientales, por el impacto social y económico producido por el uso del agua|NA|NA|NA|TRUE|NA|Realizada|NA|221|NA|NA|NA|NA|NA
33|65|4|NA|1|NA|Informe sobre el proceso de paz con las Autodefensas, ELN, FARC y particularmente el acuerdo humanitario.|NA|NA|NA|TRUE|NA|Realizada|NA|146|NA|NA|NA|NA|NA
34|39|4|12|1|NA|Debate sobre la Ley contra la explotacion sexual infantil.|09/08/2005|28|122|FALSE|explotacion sexual infantil|Se Realizó|NA|39|NA|NA|NA|NA|NA
35|16684|4|NA|1|NA|Cuestionario sobre Informe de las Naciones Unidas para los Derechos Humanos sobre posibles irregularidades de la aplicación de la Ley de Justicia y Paz. Investigaciones que se adelantan contra el Exdirector del DAS, Jorge Aurelio Noguera Cotes.|NA|94|123|TRUE|Naciones Unidas para los Derechos Humanos, Ley de Justicia y Paz, LJP, DAS, Jorge Aurelio Noguera Cotes.|NA|NA|202|NA|NA|NA|NA|NA
36|17058|4|NA|1|NA|Seguridad de miembros del Congreso.|NA|123|20|FALSE|Seguridad, congresistas|No se realizó.|NA|NA|NA|NA|NA|NA|NA
37|17262|4|NA|1|NA|Debate sobre los programas, recursos, la gestión y las expectativas de la Administración Postal Nacional-Adopostal.|NA|53|NA|FALSE|Adopostal|No se realizó.|NA|20|NA|NA|NA|NA|NA
38|17747|4|12|1|NA|Discutir sobre  las irregularidades que se vienen presentando en la cancillería.|19/04/2006|108|NA|FALSE|NA|NA|NA|42|NA|NA|NA|NA|NA
39|18057|6|NA|1|NA|Debate sobre los derechos de los partidos de oposición en Colombia y las garantías a éstos por parte del Gobierno Nacional.|NA|130|20|FALSE|oposición, gobierno, coalición|NA|NA|NA|NA|NA|NA|NA|NA
40|27268|2|NA|2|NA|Debatir sobre la Política de vivienda y residuos hospitalarios en el país|NA|125|10|FALSE|residuos hospitalarios, política de vivienda|NA|NA|02-ago|NA|NA|NA|NA|NA
41|24|4|12|1|NA|Situación de empresas de telecomunicaciones.|10/08/2005|38|53|TRUE|telecomunicaciones|<p>No se Realiz&oacute;.</p>|NA|53 y aditivas|NA|NA|NA|NA|NA
42|27589|6|17|1|NA|Debatir sobre el proceso de venta accionaria de la empresa Satena|01/06/2011|100|41|FALSE|Satena, acciones|NA|NA|18-nov|NA|NA|NA|NA|NA
