id,congresista_id,tipo_investigacion_id,descripcion,activo,usercreated,usermodifed,created_at,updated_at
1,169,3,"RENUNCIO a la curul para hacerle frente al proceso de la parapolítica abierto por la Corte Suprema de Justicia (07MAY07). CONDENADO por concierto para delinquir (18MAR10).  La Corte Suprema lo condenó a nueve años y tres meses por concierto para delinquir y ordenó su traslado a una cárcel, pues tenía el beneficio de detención domiciliaria por enfermedad desde hace dos años. Un juez de penas de Valledupar ordenó su libertad condicional. (09FEB11).

http://www.eltiempo.com/archivo/documento/CMS-7434247
Visto: enero 28/13

http://www.eltiempo.com/justicia/ordenan-libertad-condicional-de-lvaro-araujo-castro_8840059-4
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T20:52:22Z,2013-02-01T15:39:44Z
2,736,3,"La Sala Penal de la Corte Suprema de Justicia emitió orden de captura  por presunto enriquecimiento ilícito con dinero de grupos paramilitares. (12NOV15)En libertad condicional por haber cumplido tres quintas partes de la pena. (16DIC14). La Sala Penal de la Corte Suprema de Justicia condenó a nueve años de prisión al excongresista Óscar de Jesús Suárez por ‘parapolítica’ (24JUL13). - Llamado a juicio por la Corte Suprema de Justicia (04AGO11). Había sido detenido por supuesto concierto para delinquir agravado, principal delito de la denominada 'parapolítica'. (26ENE11). Fue llamado a VERSIÓN LIBRE por la CSJ dentro del proceso de la PARAPOLITICA (26MAR08). Renunció a la curul (22OCT09).

http://www.elespectador.com/noticias/judicial/articulo-289443-parapolitica-formulan-acusacion-oscar-suarez-mira
Visto: enero 28/13

http://www.eluniversal.com.co/cartagena/nacional/nueve-anos-de-carcel-oscar-suarez-mira-por-parapolitica-128041#sthash.m4b2i3Pu.dpuf
Tomado: Septiembre 06/13",TRUE,NA,NA,2010-02-15T20:56:25Z,2015-11-12T19:55:17Z
5,1059,56,"Fue absuelta en la investigación que se le adelantaba por tráfico de influencias(14JUN12), pues al parecer, no se pudo establecer que la exsenadora pidiera de manera irregular ni ilegal información privilegiada al DAS. Había sido llamada a juicio por el uso de información privilegiada proveniente del DAS. (21SEPT11). La Corte Suprema de Justicia le dictó medida de aseguramiento con detención domiciliaria (25MAY11) por su probable participación en las intercepetaciones ilegales del DAS. Fue acusada de utilización de información ilegalmente obtenida por parte del DAS, en contra de la ex congresista Piedad Córdoba (18ENE11).

http://www.elespectador.com/noticias/judicial/articulo-353132-absuelven-nancy-patricia-gutierrez-trafico-de-influencia
Visto: enero 28/13

http://www.elespectador.com/noticias/judicial/articulo-272546-aseguran-nancy-patricia-gutierrez-chuzadas
Visto: enero 28/13
http://www.elespectador.com/node/245608
Visto: enero 28/13
Indagación preliminar pues la Corte Suprema de Justicia busca establecer si la ex congresista habría favorecido a la EPS en las discusiones del proyecto de ley de reforma al sistema de salud, al entregar borradores de la misma a Saludcoop, entre otras EPS.
http://www.eltiempo.com/justicia/corte-suprema-abre-indagacion-contra-nancy-patricia-por-caso-saludcoop_10725224-4
Visto: enero 28/13

En Indagación Preliminar dentro del proceso de la PARAPOLITICA (18ABR08). Según un anónimo allegado a la Corte, la senadora habría sido beneficiada por algunos paramilitares, tanto en Cundinamarca como en varias zonas del país por orden de ex jefes de las autodefensas. Fue archivada la investigación disciplinaria 

http://www.lasillavacia.com/historia/18045
Visto: enero 28/13
http://elespectador.com/noticias/judicial/articulo-307960-archivan-proceso-disciplinario-contra-nancy-patricia-gutierrez-p
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:07:47Z,2013-02-01T15:28:31Z
6,2366,3,"Fue condenado a seis años de prisión (25NOV08) por vínculos con las AUC en Córdoba. Estaba detenido desde (31AGO09) y siendo investigado en el proceso de la PARAPOLÍTICA. Renunció a su curul (27AGO07). La Procuraduría inició investigación disciplinaria en su contra (12DIC11) por sus presuntos vínculos con grupos paramilitares, más precisamente con el llamado pacto de Ralito en el año 2001.

http://www.elespectador.com/noticias/judicial/articulo93479-congresista-reginaldo-montes-condenado-seis-anos-de-prision
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-316192-investigacion-disciplinaria-contra-reginaldo-montes-parapolitica
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:09:30Z,2013-02-01T14:31:08Z
7,623,63,"Condenado a 90 meses de prisión (01FEB12) por concierto para delinquir. El ex congresista fue llamado a juicio (23MAR11) por parte de la Corte Suprema de Justicia. Estuvo DETENIDO e investigado en el proceso de la PARAPOLÍTICA(31MAR08). Fue liberado por la CSJ por fallos en el procedimiento (09JUL 09), pero la investigación de mantuvo. 

http://www.elespectador.com/noticias/politica/articulo149848-libertad-ex-congresista-miguel-pinedo-vidal
Visto: enero 28/13
http://www.elespectador.com/noticias/judicial/articulo-324170-excongresista-miguel-pinedo-fue-condenado-90-meses-de-prision-pa
Visto: enero 28/13
La Procuraduría General de la Nación le inició investigación disciplinaria (11MAR11). La investigación se origina a partir de la compulsa de copias que hiciera la Corte Suprema de Justicia para investigar los supuestos indebidos manejos en la Dirección Nacional de Estupefacientes. 

http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-dirigentes
Visto: enero 28/13

La Corte Suprema abrió investigación preliminar en contra por el supuesto tráfico de influencias que ejercieron dentro de la Dirección Nacional de Estupefacientes, DNE (06ABR11). Llamado a versión libre (18ENE12).
http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:11:23Z,2013-02-01T14:30:17Z
8,54,2,"Fue condenado a siete años y seis meses de cárcel y quedó detenido por el acuerdo suscrito con el excomandante del Bloque Cárdenas de las Autodefensas Freddy Rendón Herrera, alias ‘El Alemán’ (27SEPT10). Fue detenido e investigado en el proceso de la PARAPOLÍTICA (27MAR08) Proceso volvió a la CSJ (SEP09). Había quedado libre por vencimiento de términos. La Corte le abrió nueva investigación por el delito de concusión, pues presuntamente exigía dinero a los integrantes de su UTL.
http://www.elespectador.com/noticias/judicial/articulo-261301-nueva-indagacion-contra-ruben-dario-quintero
Visto: enero 28/13
http://www.elcolombiano.com/BancoConocimiento/D/detenido_el_ex_congresista_antioqueno_ruben_dario_quintero/detenido_el_ex_congresista_antioqueno_ruben_dario_quintero.asp
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:15:03Z,2013-02-01T14:27:53Z
9,999,116,"La Corte Suprema de Justicia no halló mérito para continuar con la investigación (30JUL08). INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA (02JUL08).
http://www.arcoiris.com.co/2012/12/investigacion-preliminar-a-los-conciliadores-de-la-reforma-a-la-justicia/
Visto: enero 28/13

La Corte Suprema de Justicia abrió investigación preliminar contra 27 senadores para esclarecer si alguno de ellos estaba impedido para hacer parte de la votación para elegir jefe del Ministerio Público y, pese a ello, no se declaró impedido e hizo parte de la misma. La idea es comprobar si hubo o no algún conflicto de intereses alrededor de la votación (13SEPT13).

http://www.elespectador.com/noticias/judicial/corte-investiga-27-senadores-articulo-446311
Tomado: septiembre 16/13
",TRUE,NA,NA,2010-02-15T21:16:12Z,2013-11-21T14:40:53Z
10,1620,3,"Condenado a 90 meses de prisión (18AGO10). El ex parlamentario también deberá pagar una sanción pecuniaria de más de 3.300 millones de pesos, equivalentes a 6.500 salarios mínimos mensuales  vigentes y estará inhabilitado para el ejercicio de funciones públicas durante el mismo lapso que dure la pena. Estuvo DETENIDO y siendo investigado en el proceso de la PARAPOLÍTICA Bloque Elmer Arenas (08ABR08). 

De igual forma, la Procuraduría General formuló pliego de cargos contra el excongresista por sus presuntos vínculos con grupos paramilitares para lograr un beneficio político y electoral (01NOV12).

http://www.elespectador.com/noticias/judicial/articulo-384560-procuraduria-abrio-proceso-contra-excongresista-humberto-builes
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:17:15Z,2013-02-01T14:24:44Z
11,1712,1,"INVESTIGADO en el proceso de la PARAPOLÍTICA (27MAR08). Renunció a su curul (08OCT07). Fue llamado por la Corte Suprema de Justicia por su supuesta autoría intelectual de los homicidios de los políticos de su región Eusser Rendón, Carlos Sabogal y Nubia Sánchez, el 13 de septiembre de 2004.

http://www.semana.com/wf_InfoArticulo.aspx?IdArt=106824
Visto: enero 28/13",TRUE,NA,NA,2010-02-15T21:18:44Z,2013-02-01T14:23:55Z
12,198,2,"Detenido por sus supuestos nexos con grupos paramilitares. (08NOV17). La Corte Suprema de Justicia le tiene una investigación preliminar por supuestos nexos con grupos armados ilegales. (06SEPT12). En indagatoria preliminar ante la Corte Suprema de Justicia por celebración indebida de contratos (25ABR08). Fue llamado a juicio (16OCT08). Renunció a su curul (28OCT08). Las posibles irregularidades tienen que ver con la suscripción de un contrato de consultoría para la Alcaldía de la capital del Atlántico en el año 2000. Las posibles irregularidades de la consultoría tienen que ver con contratar a una persona jurídica particular para realizar, por espacio de 20 años, gestión tributaria, una actividad exclusiva de ejecución estatal.

http://www.caracol.com.co/nota.aspx?id=690128
Visto: enero 28/13

http://www.vanguardia.com/actualidad/colombia/173148-abren-investigacion-preliminar-contra-seis-congresistas-por-parapolitica
Tomado: Dic 03/13",TRUE,NA,NA,2010-02-15T21:24:12Z,2017-12-12T19:07:15Z
