id|persona_id|cargo|fecha|fecha_final|activo|usercreated|usermodified|created_at|updated_at
1|244|Otros Servicios Director Dirección administrativa de Trásito y trasporte|01/01/1975|NA|1|NA|NA|2009-12-07T16:02:59Z|2009-12-07T16:02:59Z
2|244|Otros Servicios Jefe de planeación Departamento administrativo del servicio civil|01/01/1979|NA|1|NA|NA|2009-12-07T16:02:59Z|2009-12-07T16:02:59Z
564|1675|Otros Servicios PRESIDENTE DE EL SINDICATO FALABELLA DE COLOMBIA S.A.|01/05/2008|08/02/2010|1|NA|NA|2010-02-07T16:51:24Z|2010-02-07T16:51:24Z
4|141|Otros Servicios Gerente Administrativo Seapto Ltda.|01/01/1991|01/01/1992|1|NA|NA|2009-12-09T21:29:28Z|2009-12-09T21:29:28Z
5|141|Otros Servicios Inspector Primero Municipal de Policía Municipio del Guamo - Tolima|01/01/1988|01/01/1989|1|NA|NA|2009-12-09T21:29:28Z|2009-12-09T21:29:28Z
6|141|Otros Servicios Juez Octavo de Instrucción Criminal (E) Municipio de Ibagué - Tolima|01/01/1987|31/12/1987|1|NA|NA|2009-12-09T21:29:28Z|2009-12-09T21:29:28Z
7|141|Otros Servicios Juez Promiscuo Municipal Municipio de Herveo - Tolima|01/01/1987|31/12/1987|1|NA|NA|2009-12-09T21:29:28Z|2009-12-09T21:29:28Z
8|8|Educacion y Conocimiento Secretario General Universidad Francisco José de Caldas|01/06/1993|15/05/1997|1|NA|NA|2009-12-14T16:50:42Z|2010-05-24T19:28:50Z
9|90|Otros Servicios Ejercicio Profesional como Abogado|16/02/2003|20/07/2008|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
10|90|Otros Servicios Socio Director Baker Tilly Colombia Baker Tilly Colombia|01/06/2006|NA|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
11|90|Otros Servicios Arbitraje Comercial y Administrativo Camara de Comercio de Bogotá|NA|NA|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
12|90|Educacion y Conocimiento Profesor Facultad de Ciencia Política y RR.II Universidad Javeriana|01/09/2004|30/11/2005|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
13|90|Otros Servicios Embajador de Colombia ante las Naciones Unidas Ministerio de Relaciones Exteriores|15/09/1998|14/01/2003|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
14|90|Otros Servicios Fiscal General de la Nación Ficalia General de la Nación|18/08/1994|08/05/1997|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
15|90|Otros Servicios Embajador de Colombia ante el Gobierno de Israel Ministerio de Relaciones Exteriores|01/02/1992|20/03/1993|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
16|90|Otros Servicios Ministro de Educación Nacional Presidencia de la República|16/08/1990|16/11/1991|1|NA|NA|2009-12-16T22:50:24Z|2009-12-16T22:50:24Z
