id,persona_id,partido_id,cargo,fecha,fecha_final,activo,usercreated,usermodifed,created_at,updated_at
1,141,4,Representante a la Cámara,05-12-2008,19-07-2010,1,,,,
2,141,4,Representante a la Cámara,20-07-2002,19-07-2006,1,,,,
3,141,4,Representante a la Cámara,20-07-1998,19-07-2002,1,,,,
7,141,4,Diputado Asamblea del Tolima,01-01-1995,31-12-1997,1,,,,
8,141,4,Diputado Asamblea del Tolima,01-01-1992,31-12-1994,1,,,,
12,90,3,Senador de la República,20-07-2008,20-07-2010,1,,,,
13,90,2,Senador de la República,20-07-1986,20-07-1990,1,,,,
14,90,2,Senador de la República,20-07-1990,19-07-1994,1,,,,
15,90,2,Representante a la Cámara,20-07-1982,16-12-2009,1,,,,
16,90,2,Concejal de Bucaramanga,20-07-1988,19-07-1989,1,,,,
1433,486,NA,"Concejal de Ciénaga de Oro, Córdoba",01-06-1990,30-03-1992,1,,,,
42,310,66,Senador de la República,20-07-1994,19-07-1998,1,,,,
43,310,66,Senador de la República,12-12-1991,19-07-1994,1,,,,
44,313,4,Diputado,06-12-1988,06-12-1990,1,,,,
47,313,60,Senador Suplente,06-12-1990,06-12-1994,1,,,,
56,108,2,Diputado Asamblea Vaupés,01-01-1998,31-12-2001,1,,,,
57,108,2,Diputado Asamblea Vaupés,01-01-1995,31-12-1997,1,,,,
72,391,3,Presidenta Senado de la República,20-07-2005,19-07-2006,1,,,,
73,391,3,Senadora de la República,20-07-2002,19-07-2006,1,,,,
74,391,3,Presidenta Comisión I Senado,15-03-1999,20-07-2000,1,,,,
101,28,2,Senador de la República,20-07-2002,20-07-2006,1,,,,
102,28,2,Vocero de la Bancada,20-07-2006,20-07-2007,1,,,,
105,28,2,Codirector Nacional,01-05-2003,01-05-2005,1,,,,
61,341,7,Representante a la Cámara,20-07-2002,20-06-2006,1,,,,
45,313,34,Representante a la Cámara,20-07-1998,19-07-2002,1,,,,
46,313,34,Representante a la Cámara,20-07-1994,20-07-1996,1,,,,
107,28,2,Presidente Direccion Nacional,16-12-2004,11-06-2004,1,,,,
41,310,4,Senador de la República,20-07-1998,19-07-2002,1,,,,
19,142,10,NA,20-07-2006,20-06-2010,1,,,,
857,809,4,NA,20-07-1998,19-07-2002,1,,,,
858,809,7,NA,20-07-2002,19-07-2006,1,,,,
859,809,7,NA,20-07-2006,19-07-2010,1,,,,
30,60,10,NA,20-07-2002,20-07-2006,1,,,,
62,346,86,NA,01-07-1992,31-12-1994,1,,,,
63,346,78,NA,01-01-1995,31-12-1997,1,,,,
31,60,10,NA,20-07-2006,20-07-2010,1,,,,
26,40,2,NA,22-01-2009,20-07-2010,1,,,,
27,40,2,NA,02-01-2009,11-05-2010,1,,,,
28,40,2,NA,01-01-1995,01-02-1997,1,,,,
4,244,4,NA,01-01-1974,01-01-1980,1,,,,
5,244,4,NA,01-01-1981,01-01-1993,1,,,,
6,244,4,NA,01-01-1994,01-01-2009,1,,,,
1422,2462,117,NA,20-07-2010,20-07-2014,1,,,,
84,130,5,NA,20-07-2006,19-07-2006,1,,,,
29,295,2,NA,01-06-2003,30-06-2005,1,,,,
53,324,33,NA,20-07-2002,19-07-2006,1,,,,
20,11,5,NA,20-07-2006,20-07-2010,1,,,,
9,8,1,NA,01-01-2003,13-10-2006,1,,,,
10,8,1,NA,01-01-2000,31-12-2003,1,,,,
11,8,2,NA,01-01-1997,31-12-2000,1,,,,
65,7,2,NA,20-07-2002,20-07-2006,1,,,,
1408,525,NA,NA,05-12-1996,06-02-1998,1,,,,
69,387,75,NA,20-07-1998,19-07-2002,1,,,,
70,387,29,NA,20-07-2002,19-07-2006,1,,,,
71,387,75,NA,01-01-1995,31-12-1997,1,,,,
78,429,66,NA,01-01-1998,31-12-2006,1,,,,
79,429,66,NA,20-07-1994,19-07-1998,1,,,,
39,309,2,NA,01-01-1988,01-06-1990,1,,,,
40,309,2,NA,01-06-1990,30-06-1992,1,,,,
1407,524,NA,NA,01-01-1995,31-12-1997,1,,,,
855,207,2,NA,20-07-1998,20-07-2002,1,,,,
856,207,2,NA,20-07-2002,19-07-2006,1,,,,
110,484,4,NA,31-05-2007,31-05-2008,1,,,,
66,357,2,NA,20-07-2002,19-07-2006,1,,,,
113,494,75,NA,01-01-1970,31-12-1980,1,,,,
114,494,75,NA,01-01-1982,31-12-1986,1,,,,
115,494,75,NA,01-01-1970,31-12-1980,1,,,,
116,494,75,NA,01-01-1970,31-12-1980,1,,,,
112,485,53,NA,20-07-2002,19-07-2006,1,,,,
87,451,66,NA,01-01-1983,31-12-1984,1,,,,
88,451,66,NA,01-01-1986,31-12-1988,1,,,,
82,441,5,NA,20-07-2002,19-07-2006,1,,,,
1406,462,NA,NA,01-06-1992,31-12-1994,1,,,,
860,811,46,NA,12-12-1991,20-07-1994,1,,,,
861,811,46,NA,20-07-1998,19-07-2002,1,,,,
92,23,60,NA,01-01-2002,31-12-2006,1,,,,
93,23,28,NA,01-01-1991,31-12-1994,1,,,,
94,23,28,NA,01-01-1994,31-12-1998,1,,,,
863,2126,NA,"Concejal Tierralta, Córdoba",01-01-2001,31-12-2001,1,,,,
184,650,75,"Concejal Chinchiná, Caldas",01-01-1990,31-12-1992,1,,,,
185,650,75,Gobernador Caldas,01-01-1998,31-12-2000,1,,,,
187,650,75,"Concejal Chinchiná, Caldas",01-06-1992,31-12-1994,1,,,,
188,650,75,"Concejal Chinchiná, Caldas",01-01-1995,31-12-1997,1,,,,
174,641,2,Representante a la Cámara,20-07-1991,20-07-1994,1,,,,
175,641,2,Representante a la Cámara,20-07-2002,20-07-2006,1,,,,
176,641,2,Representante a la Cámara,01-01-1990,31-12-1991,1,,,,
177,641,2,Representante a la Cámara,20-07-1994,20-07-1998,1,,,,
238,814,2,Gobernador Cesar,01-01-1995,31-12-1997,1,,,,
122,507,2,NA,20-07-2007,19-07-2008,1,,,,
123,507,2,NA,20-07-2006,19-07-2010,1,,,,
138,519,67,NA,20-07-2002,19-07-2006,1,,,,
139,547,68,NA,20-07-2002,19-07-2006,1,,,,
140,547,17,NA,20-07-1994,19-07-1998,1,,,,
1409,2463,NA,NA,01-01-1997,31-12-2001,1,,,,
1410,2463,NA,NA,01-01-2003,31-12-2007,1,,,,
217,792,2,NA,01-01-1995,31-12-1997,1,,,,
218,792,2,NA,01-01-1998,31-12-2000,1,,,,
239,836,75,NA,01-01-1988,31-12-1994,1,,,,
240,836,66,NA,01-01-1995,31-12-1997,1,,,,
1412,2812,NA,NA,01-10-2002,03-01-2007,1,,,,
169,171,93,NA,01-01-1982,31-12-1983,1,,,,
170,171,93,NA,01-10-1986,30-11-1987,1,,,,
171,171,93,NA,01-06-1988,31-05-1990,1,,,,
172,171,93,NA,03-06-1992,30-10-1993,1,,,,
173,171,93,NA,12-06-1977,30-10-1983,1,,,,
212,763,95,NA,20-07-2002,19-07-2006,1,,,,
213,763,95,NA,20-07-1998,19-07-2002,1,,,,
137,512,113,NA,20-07-2002,19-07-2006,1,,,,
186,650,53,Representante a la Cámara,20-07-2002,19-07-2006,1,,,,
864,210,NA,Diputada Asamblea Cundinamarca,01-06-1988,31-05-1990,1,,,,
865,210,NA,Diputada Asamblea Cundinamarca,01-06-1990,31-07-1991,1,,,,
866,210,NA,Senador de la República,01-07-1991,31-05-1992,1,,,,
205,706,4,NA,01-09-1986,30-08-1988,1,,,,
206,706,79,NA,20-07-1998,19-07-2002,1,,,,
207,706,4,NA,01-09-1988,30-08-1990,1,,,,
208,721,2,NA,10-03-2003,08-03-2004,1,,,,
209,721,2,NA,01-01-2002,31-12-2006,1,,,,
211,756,2,NA,02-01-1998,31-12-2000,1,,,,
150,601,2,NA,01-01-1995,31-12-1997,1,,,,
151,601,2,NA,01-01-1998,31-12-2000,1,,,,
152,601,2,NA,01-01-2001,01-01-2002,1,,,,
153,601,2,NA,20-07-2002,19-07-2006,1,,,,
146,591,2,NA,01-01-1998,31-12-2000,1,,,,
165,289,66,NA,01-01-1980,31-12-1982,1,,,,
166,289,66,NA,01-01-1995,31-12-1997,1,,,,
168,289,17,NA,01-01-1991,31-12-1994,1,,,,
154,612,5,NA,20-07-2002,20-07-2006,1,,,,
179,643,2,NA,20-07-2002,19-07-2006,1,,,,
180,643,2,NA,20-07-1998,19-07-2002,1,,,,
181,643,2,NA,20-07-1994,19-07-1998,1,,,,
182,643,2,NA,01-06-1992,31-12-1994,1,,,,
183,643,2,NA,01-01-1990,31-12-1992,1,,,,
159,623,75,NA,01-01-1974,31-12-1976,1,,,,
160,623,75,NA,01-01-2002,31-12-2006,1,,,,
161,623,75,NA,01-01-1988,31-12-1990,1,,,,
