id,proyecto_ley_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
11286,3899,391,1,,,,
11287,3900,391,1,,,,
11288,3901,304,1,,,,
11289,3901,28,1,,,,
11290,3901,643,1,,,,
11291,3901,710,1,,,,
11292,3901,731,1,,,,
11293,3901,956,1,,,,
11294,3902,304,1,,,,
11295,3902,28,1,,,,
11296,3902,643,1,,,,
11297,3902,710,1,,,,
11298,3902,731,1,,,,
11299,3902,956,1,,,,
11300,3903,734,1,,,,
11301,3904,734,1,,,,
11302,3905,734,1,,,,
11303,3906,734,1,,,,
11304,3907,734,1,,,,
11306,3910,1026,1,,,,
11309,3914,329,1,,,,
11310,3915,329,1,,,,
11311,3916,808,1,,,,
11312,3930,20,1,,,,
11313,3931,20,1,,,,
11314,3935,435,1,,,,
11315,3936,50,1,,,,
11316,3937,806,1,,,,
11317,3938,327,1,,,,
11318,3938,408,1,,,,
11319,3938,643,1,,,,
11320,3939,25,1,,,,
11321,3939,595,1,,,,
11325,3941,25,1,,,,
11326,3941,595,1,,,,
11328,3942,25,1,,,,
11329,3942,595,1,,,,
11330,3943,657,1,,,,
11331,3945,657,1,,,,
11332,3946,28,1,,,,
11333,3946,808,1,,,,
11334,3947,834,1,,,,
11335,3947,963,1,,,,
11336,3948,834,1,,,,
11337,3948,963,1,,,,
11338,3949,731,1,,,,
11339,3949,25,1,,,,
11340,3950,906,1,,,,
11341,3951,906,1,,,,
11344,3954,643,1,,,,
11345,3955,1035,1,,,,
11346,3956,408,1,,,,
11350,3962,906,1,,,,
11351,3963,70,1,,,,
11352,3964,643,1,,,,
11354,3964,973,1,,,,
11355,3964,1035,1,,,,
11356,3965,643,1,,,,
11358,3965,973,1,,,,
11359,3965,1035,1,,,,
11360,3966,643,1,,,,
11362,3966,973,1,,,,
11363,3966,1035,1,,,,
11364,3967,643,1,,,,
11366,3967,973,1,,,,
11367,3967,1035,1,,,,
11368,3968,643,1,,,,
11370,3968,973,1,,,,
11371,3968,1035,1,,,,
11372,3969,643,1,,,,
11374,3969,973,1,,,,
11375,3969,1035,1,,,,
11376,3970,643,1,,,,
11378,3970,973,1,,,,
11379,3970,1035,1,,,,
11382,3979,973,1,,,,
11383,3980,304,1,,,,
11384,3980,604,1,,,,
11386,3980,806,1,,,,
