id,persona_id,tipo_autor_id,proyecto_ley_id,created_at,updated_at,activo,usercreated,usermodifed
26894,50,114,6160,14-04-11 14:29,14-04-11 14:29,1,NA,NA
26898,132,114,5043,14-04-11 21:18,14-04-11 21:18,1,NA,NA
26900,50,114,6163,15-04-11 18:07,15-04-11 18:07,1,NA,NA
26924,141,114,5067,18-04-11 20:44,18-04-11 20:44,1,NA,NA
26761,53,114,6128,30-03-11 18:27,30-03-11 18:27,1,NA,NA
26764,50,114,6129,30-03-11 18:45,30-03-11 18:45,1,NA,NA
26765,136,114,4881,30-03-11 19:55,30-03-11 19:55,1,NA,NA
26766,136,114,4959,30-03-11 22:11,30-03-11 22:11,1,NA,NA
26767,134,114,4959,30-03-11 22:11,30-03-11 22:11,1,NA,NA
26768,136,114,4960,30-03-11 22:47,30-03-11 22:47,1,NA,NA
26769,120,114,4960,30-03-11 22:48,30-03-11 22:48,1,NA,NA
26770,134,114,4960,30-03-11 22:48,30-03-11 22:48,1,NA,NA
26771,23,114,4878,30-03-11 22:56,30-03-11 22:56,1,NA,NA
26772,130,114,4878,30-03-11 22:56,30-03-11 22:56,1,NA,NA
26773,120,114,4882,30-03-11 22:58,30-03-11 22:58,1,NA,NA
26777,134,114,4889,01-04-11 21:21,01-04-11 21:21,1,NA,NA
11659,104,114,4322,29-01-10 1:10,21-01-11 21:46,1,NA,NA
26782,50,114,6135,04-04-11 19:30,04-04-11 19:30,1,NA,NA
26783,50,114,6136,04-04-11 19:32,04-04-11 19:32,1,NA,NA
26786,139,114,4966,05-04-11 21:26,05-04-11 21:26,1,NA,NA
26787,129,114,4980,05-04-11 21:40,05-04-11 21:40,1,NA,NA
26788,51,114,6139,06-04-11 14:20,06-04-11 14:20,1,NA,NA
26789,53,114,6139,06-04-11 14:25,06-04-11 14:25,1,NA,NA
26790,51,114,6140,06-04-11 14:27,06-04-11 14:27,1,NA,NA
26791,140,114,6140,06-04-11 14:31,06-04-11 14:31,1,NA,NA
26792,51,114,6141,06-04-11 14:49,06-04-11 14:49,1,NA,NA
27133,10,24,6197,23-05-11 16:52,23-05-11 16:52,1,NA,NA
26793,65,114,6141,06-04-11 14:49,06-04-11 14:49,1,NA,NA
26794,51,114,6142,06-04-11 14:57,06-04-11 14:57,1,NA,NA
26795,65,114,6142,06-04-11 14:57,06-04-11 14:57,1,NA,NA
26796,51,114,6143,06-04-11 15:50,06-04-11 15:50,1,NA,NA
26797,65,114,6143,06-04-11 15:51,06-04-11 15:51,1,NA,NA
26798,65,114,6144,06-04-11 15:56,06-04-11 15:56,1,NA,NA
26799,51,114,6144,06-04-11 15:56,06-04-11 15:56,1,NA,NA
26800,51,114,6145,06-04-11 16:31,06-04-11 16:31,1,NA,NA
26801,52,114,6145,06-04-11 16:31,06-04-11 16:31,1,NA,NA
26802,51,114,6146,06-04-11 16:36,06-04-11 16:36,1,NA,NA
26803,55,114,6146,06-04-11 16:37,06-04-11 16:37,1,NA,NA
26804,136,114,4962,06-04-11 21:29,06-04-11 21:29,1,NA,NA
26805,134,114,4962,06-04-11 21:30,06-04-11 21:30,1,NA,NA
27134,24,114,5315,25-05-11 16:17,25-05-11 16:17,1,NA,NA
27138,148,114,6200,27-05-11 20:28,27-05-11 20:28,1,NA,NA
27139,66,114,6200,27-05-11 20:29,27-05-11 20:29,1,NA,NA
27140,52,114,6200,27-05-11 20:30,27-05-11 20:30,1,NA,NA
27141,134,114,5334,30-05-11 19:41,30-05-11 19:41,1,NA,NA
27142,149,114,5334,30-05-11 19:44,30-05-11 19:44,1,NA,NA
27143,23,114,5291,30-05-11 20:39,30-05-11 20:39,1,NA,NA
26823,50,114,6147,08-04-11 14:50,08-04-11 14:50,1,NA,NA
26824,50,114,6148,08-04-11 14:53,08-04-11 14:53,1,NA,NA
27144,134,114,5291,30-05-11 20:39,30-05-11 20:39,1,NA,NA
12505,124,114,4585,29-01-10 1:10,16-02-11 15:28,1,NA,NA
26830,50,114,6151,08-04-11 15:34,08-04-11 15:34,1,NA,NA
26833,23,114,4986,08-04-11 22:16,08-04-11 22:16,1,NA,NA
26834,120,114,4986,08-04-11 22:17,08-04-11 22:17,1,NA,NA
26835,23,114,4987,08-04-11 22:41,08-04-11 22:41,1,NA,NA
26837,23,114,4988,08-04-11 23:05,08-04-11 23:05,1,NA,NA
26838,23,114,4989,08-04-11 23:46,08-04-11 23:46,1,NA,NA
26839,134,114,4989,08-04-11 23:47,08-04-11 23:47,1,NA,NA
26840,23,114,4990,08-04-11 23:56,08-04-11 23:56,1,NA,NA
26841,123,114,4990,08-04-11 23:57,08-04-11 23:57,1,NA,NA
26856,50,114,6157,12-04-11 17:06,12-04-11 17:06,1,NA,NA
26875,50,114,6159,13-04-11 14:28,13-04-11 14:28,1,NA,NA
26879,132,114,5023,13-04-11 16:59,13-04-11 16:59,1,NA,NA
26890,23,114,5027,13-04-11 21:30,13-04-11 21:30,1,NA,NA
26891,138,114,5027,13-04-11 21:31,13-04-11 21:31,1,NA,NA
26892,24,114,5027,13-04-11 21:31,13-04-11 21:31,1,NA,NA
27145,23,114,5292,01-06-11 19:31,01-06-11 19:31,1,NA,NA
27146,150,114,5292,01-06-11 19:33,01-06-11 19:33,1,NA,NA
26893,139,114,5029,13-04-11 22:13,13-04-11 22:13,1,NA,NA
26627,108,114,4620,18-03-11 20:06,18-03-11 20:06,1,NA,NA
26628,136,114,4769,18-03-11 21:16,18-03-11 21:16,1,NA,NA
27147,23,114,5293,01-06-11 20:02,01-06-11 20:02,1,NA,NA
27148,150,114,5293,01-06-11 20:03,01-06-11 20:03,1,NA,NA
27149,24,114,5297,01-06-11 20:41,01-06-11 20:41,1,NA,NA
27150,23,114,5297,01-06-11 20:41,01-06-11 20:41,1,NA,NA
