id,proyecto_ley_estado_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
13617,44651,2,1,NA,NA,NA,NA
13673,41420,3,1,NA,NA,NA,NA
13735,44724,1,1,NA,NA,NA,NA
13791,44775,7,1,NA,NA,NA,NA
13827,43806,11,1,NA,NA,NA,NA
9,35229,9,1,NA,NA,NA,NA
6520,30069,13,1,NA,NA,NA,NA
13828,43806,4,1,NA,NA,NA,NA
13887,42465,11,1,NA,NA,NA,NA
6522,30571,5,1,NA,NA,NA,NA
13928,45041,4,1,NA,NA,NA,NA
6842,2629,6,1,NA,NA,NA,NA
6843,37841,14,1,NA,NA,NA,NA
6845,4014,11,1,NA,NA,NA,NA
18,34990,4,1,NA,NA,NA,NA
6524,30931,5,1,NA,NA,NA,NA
20,34952,1,1,NA,NA,NA,NA
21,34950,5,1,NA,NA,NA,NA
6846,26546,11,1,NA,NA,NA,NA
23,34936,1,1,NA,NA,NA,NA
6847,37844,4,1,NA,NA,NA,NA
6526,37176,5,1,NA,NA,NA,NA
6848,4016,4,1,NA,NA,NA,NA
6849,16556,5,1,NA,NA,NA,NA
6527,29838,8,1,NA,NA,NA,NA
6850,4376,5,1,NA,NA,NA,NA
6528,29838,10,1,NA,NA,NA,NA
6529,29838,12,1,NA,NA,NA,NA
32,34724,3,1,NA,NA,NA,NA
33,34642,8,1,NA,NA,NA,NA
6530,29838,13,1,NA,NA,NA,NA
35,34635,10,1,NA,NA,NA,NA
36,34633,4,1,NA,NA,NA,NA
37,34956,7,1,NA,NA,NA,NA
38,34634,10,1,NA,NA,NA,NA
6851,37846,9,1,NA,NA,NA,NA
40,34552,10,1,NA,NA,NA,NA
41,35130,6,1,NA,NA,NA,NA
42,34636,10,1,NA,NA,NA,NA
6532,29883,1,1,NA,NA,NA,NA
6533,29814,1,1,NA,NA,NA,NA
45,34417,1,1,NA,NA,NA,NA
46,34644,6,1,NA,NA,NA,NA
47,34220,5,1,NA,NA,NA,NA
13979,43988,3,1,NA,NA,NA,NA
49,34151,4,1,NA,NA,NA,NA
50,35128,6,1,NA,NA,NA,NA
51,35129,6,1,NA,NA,NA,NA
6853,37849,3,1,NA,NA,NA,NA
6854,4680,3,1,NA,NA,NA,NA
