id,proyecto_ley_estado_id,congresista_id,es_coordinador,activo,usercreated,usermodifed,created_at,updated_at
47110,26332,1,,1,NA,NA,,
46862,26072,1,,1,NA,NA,,
49169,34683,1,,1,NA,NA,,
8217,12550,1,,1,NA,NA,,
54814,37954,1,,1,NA,NA,,
48675,34478,1,,1,NA,NA,,
10283,14044,1,,1,NA,NA,,
59438,16655,1,,1,NA,NA,,
54576,37849,1,,1,NA,NA,,
59440,4823,1,,1,NA,NA,,
18226,11238,1,,1,NA,NA,,
59443,16661,1,,1,NA,NA,,
39734,21882,1,,1,NA,NA,,
9271,11950,1,,1,NA,NA,,
39738,7611,1,,1,NA,NA,,
39739,7609,1,,1,NA,NA,,
9788,13340,1,,1,NA,NA,,
9278,12412,1,,1,NA,NA,,
68672,14038,1,,1,NA,NA,,
41285,6057,1,,1,NA,NA,,
41286,6055,1,,1,NA,NA,,
68679,12670,1,,1,NA,NA,,
41287,21993,1,,1,NA,NA,,
51528,35941,1,,1,NA,NA,,
20554,4238,1,,1,NA,NA,,
7499,9922,1,,1,NA,NA,,
20557,16327,1,,1,NA,NA,,
63826,23617,1,,1,NA,NA,,
63827,22809,1,,1,NA,NA,,
50303,35324,1,,1,NA,NA,,
50305,35325,1,,1,NA,NA,,
48259,2079,1,,1,NA,NA,,
28297,14056,1,,1,NA,NA,,
79506,3948,1,,1,NA,NA,,
62617,14128,1,,1,NA,NA,,
55717,16488,1,,1,NA,NA,,
55718,4173,1,,1,NA,NA,,
27566,13483,1,,1,NA,NA,,
66486,23555,1,,1,NA,NA,,
66495,17885,1,,1,NA,NA,,
67519,12520,1,,1,NA,NA,,
32191,12082,1,,1,NA,NA,,
9424,12605,1,,1,NA,NA,,
47829,26116,1,,1,NA,NA,,
51930,25939,1,,1,NA,NA,,
37856,20805,1,,1,NA,NA,,
50670,26676,1,,1,NA,NA,,
24830,9920,1,,1,NA,NA,,
24868,10423,3,,1,NA,NA,,
37719,25163,3,,1,NA,NA,,
63865,23971,3,,1,NA,NA,,
62453,22553,3,,1,NA,NA,,
20736,22198,4,,1,NA,NA,,
48384,26647,4,,1,NA,NA,,
59139,16125,4,,1,NA,NA,,
70917,44240,4,,1,NA,NA,,
49413,26010,4,,1,NA,NA,,
69382,43169,4,,1,NA,NA,,
60166,40641,4,,1,NA,NA,,
49671,34439,4,,1,NA,NA,,
71688,45377,4,,1,NA,NA,,
68619,42677,4,,1,NA,NA,,
