id,persona_id,fecha_inicio,fecha_final,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1,4195,20-07-2010,19-07-2014,4,1,NA,NA,NA,NA
2,4197,20-07-2010,19-07-2014,10,1,NA,NA,NA,NA
3,4199,20-07-2010,19-07-2014,6,1,NA,NA,NA,NA
4,4200,20-07-2010,19-07-2014,2,1,NA,NA,NA,NA
5,4206,20-07-2010,19-07-2014,3,1,NA,NA,NA,NA
6,4198,20-07-2010,19-07-2014,9,1,NA,NA,NA,NA
7,4550,27-04-2011,19-07-2014,33,1,NA,NA,NA,NA
8,4194,20-07-2010,19-07-2014,7,1,NA,NA,NA,NA
9,4743,20-07-2010,19-07-2014,19,1,NA,NA,NA,NA
10,4746,20-07-2010,19-07-2014,24,1,NA,NA,NA,NA
11,4747,20-07-2010,19-07-2014,26,1,NA,NA,NA,NA
12,4748,20-07-2010,19-07-2014,30,1,NA,NA,NA,NA
13,4749,20-07-2010,19-07-2014,21,1,NA,NA,NA,NA
14,4745,20-07-2010,19-07-2014,18,1,NA,NA,NA,NA
15,4750,20-07-2010,19-07-2014,20,1,NA,NA,NA,NA
16,4580,20-07-2010,19-07-2012,31,1,NA,NA,NA,NA
17,5864,20-07-2012,19-07-2014,31,1,NA,NA,NA,NA
18,5499,20-07-2010,19-07-2014,38,1,NA,NA,NA,NA
19,6483,20-07-2012,19-07-2014,29,1,NA,NA,NA,NA
20,4196,20-07-2014,19-07-2018,12,1,NA,NA,NA,NA
21,10073,20-07-2014,19-07-2018,10,1,NA,NA,NA,NA
22,10075,20-07-2014,19-07-2018,6,1,NA,NA,NA,NA
23,10076,20-07-2014,19-07-2018,2,1,NA,NA,NA,NA
24,10074,20-07-2014,19-07-2018,9,1,NA,NA,NA,NA
25,4741,20-07-2014,19-07-2018,4,1,NA,NA,NA,NA
26,4742,20-07-2014,19-07-2015,25,1,NA,NA,NA,NA
27,10173,20-07-2014,19-07-2018,21,1,NA,NA,NA,NA
28,10264,20-07-2014,19-07-2018,25,1,NA,NA,NA,NA
29,10265,20-07-2014,19-07-2018,26,1,NA,NA,NA,NA
30,10266,20-07-2014,19-07-2018,23,1,NA,NA,NA,NA
31,10267,20-07-2014,19-07-2018,18,1,NA,NA,NA,NA
32,10126,20-07-2014,19-07-2015,32,1,NA,NA,NA,NA
33,10072,20-07-2014,19-07-2018,7,1,NA,NA,NA,NA
34,12109,20-07-2016,19-07-2018,34,1,NA,NA,NA,NA
35,14573,20-07-2018,19-07-2019,2,1,NA,NA,NA,NA
36,14570,20-07-2018,19-07-2022,10,1,NA,NA,NA,NA
37,14567,20-07-2018,19-07-2022,7,1,NA,NA,NA,NA
38,14569,20-07-2018,19-07-2022,12,1,NA,NA,NA,NA
39,14571,20-07-2018,19-07-2022,9,1,NA,NA,NA,NA
40,4201,20-07-2018,19-07-2022,1,1,NA,NA,NA,NA
41,4202,20-07-2018,19-07-2022,11,1,NA,NA,NA,NA
42,4203,20-07-2018,19-07-2022,13,1,NA,NA,NA,NA
43,4204,20-07-2018,19-07-2022,8,1,NA,NA,NA,NA
44,4205,20-07-2018,19-07-2022,5,1,NA,NA,NA,NA
45,10097,20-07-2018,19-07-2022,3,1,NA,NA,NA,NA
46,4207,20-07-2018,19-07-2022,14,1,NA,NA,NA,NA
47,14568,20-07-2018,19-07-2022,4,1,NA,NA,NA,NA
48,14572,20-07-2018,19-07-2022,6,1,NA,NA,NA,NA
49,14656,01-07-2020,20-07-2022,42,1,NA,NA,NA,NA
