id|votacion_id|camara_id
1098|1411|1
1099|1412|1
1100|1413|2
1101|1414|1
1102|1415|1
1103|1416|1
1104|1417|1
7583|9269|1
1106|1419|2
1107|1420|2
7605|9278|1
7628|9263|1
7670|9298|1
1113|1426|1
7691|9296|1
7733|9326|1
1117|1430|1
1118|1431|1
1120|1433|2
7792|9385|1
1123|1441|1
1124|1442|1
7794|9357|2
1915|2278|1
1916|2277|1
1917|2272|1
1918|2271|1
1919|2268|1
1920|2267|1
1921|2252|1
1922|2246|1
1923|1635|2
1924|1636|2
1926|1645|1
1928|1869|2
1929|1870|2
1930|1871|2
7851|9414|2
7866|9423|2
7896|9440|2
7911|9448|2
7939|9462|2
7953|9470|2
1931|1872|2
8051|9529|2
8079|9550|2
8093|9474|2
8107|9517|2
8121|9478|2
8135|9567|2
8149|9580|2
8219|9632|1
8232|9643|1
8291|1533|1
1178|1496|2
1932|1873|2
1933|1874|2
1934|1881|2
1935|1882|2
1936|1887|2
3805|5177|1
1213|1536|2
1937|1888|2
1938|1890|2
1939|2315|1
1940|1891|2
1240|1563|2
1941|1892|2
1257|1583|1
1274|1603|2
1275|1604|2
1276|1605|2
1277|1606|2
1278|1607|2
1279|1608|2
1280|1611|2
1281|1612|2
1282|1613|2
1283|1614|2
1284|1615|2
1285|1616|2
1286|1617|2
1287|1618|2
1288|1619|2
1289|1620|2
1290|1621|2
1291|1622|2
1292|1623|2
1293|1624|1
1294|1625|1
1295|1626|1
1296|1627|1
1297|1628|1
1298|1629|1
1299|1630|2
1300|1633|2
1301|1634|2
1942|1893|2
1943|1894|2
1304|1637|2
1305|1638|2
1944|1910|2
1307|1641|2
1308|1642|2
1309|1643|2
1310|1644|2
1945|1911|2
1312|1646|1
3806|5178|1
1314|1648|2
1315|1655|1
1316|1656|1
1317|1657|1
1946|1914|2
1319|1659|2
1320|1660|2
1321|1661|2
1322|1662|2
1323|1663|2
1324|1664|2
1325|1665|2
1326|1666|2
1327|1667|2
1328|1668|2
1329|1669|2
1330|1670|2
1331|1671|2
1332|1672|2
1333|1673|2
1334|1674|2
1335|1675|2
1336|1676|2
1337|1677|2
1338|1678|2
1339|1679|2
1340|1680|2
1341|1681|2
1342|1682|2
1343|1683|2
1344|1684|2
1345|1685|2
1346|1686|2
1347|1687|2
1348|1688|2
1349|1689|2
1350|1690|2
1351|1691|2
1352|1692|2
1353|1693|2
1354|1694|2
1355|1695|2
1356|1696|2
1357|1697|2
1358|1698|2
1359|1699|2
1360|1700|2
3807|5179|1
1362|1702|2
1363|1703|2
1364|1704|2
1365|1705|2
1366|1706|2
1367|1707|2
1368|1708|2
1369|1709|2
1370|1710|2
1371|1711|2
1372|1712|2
1373|1713|2
1374|1714|2
1375|1715|2
1376|1716|2
1377|1717|2
1378|1718|2
1379|1719|2
1380|1720|2
1381|1721|2
1382|1722|2
1383|1723|2
1384|1724|2
1385|1725|2
1386|1726|2
1387|1727|2
1388|1728|2
1389|1729|2
1390|1730|2
1391|1731|2
1392|1732|2
1393|1733|2
1394|1734|2
1395|1735|2
1396|1736|2
1397|1737|2
1398|1738|2
1399|1739|2
1400|1740|2
1401|1741|2
1402|1742|2
1403|1743|2
1404|1744|2
1405|1745|2
1406|1746|2
1407|1747|2
1408|1748|2
1409|1749|2
1410|1750|2
1411|1751|2
1412|1752|2
1413|1753|2
1414|1754|2
1415|1755|2
1416|1756|2
1417|1757|2
1418|1758|2
1419|1759|2
1420|1760|2
1421|1761|2
1422|1762|2
1423|1763|2
1424|1764|2
1425|1765|2
1426|1766|2
1427|1767|2
1428|1768|2
1429|1769|2
1430|1770|2
3808|5180|1
1432|1772|2
1433|1773|2
1434|1774|2
1435|1775|2
1436|1776|2
1437|1777|2
1438|1778|2
1439|1779|2
1440|1780|2
1441|1781|2
1442|1785|2
1443|1786|2
1444|1787|2
1445|1788|2
1446|1789|2
1447|1797|1
1448|1798|1
1449|1799|1
1450|1800|2
1451|1801|2
1452|1802|2
1453|1803|2
1454|1804|2
1455|1805|2
1456|1806|2
1457|1807|2
1458|1808|2
1459|1809|2
1460|1810|2
1461|1811|2
1462|1812|2
1463|1813|2
1464|1814|2
1465|1815|2
1466|1816|2
1467|1817|2
1468|1818|2
1469|1819|2
1470|1820|2
1471|1821|2
1472|1822|2
1473|1823|2
1474|1824|2
1475|1825|2
1476|1826|2
1477|1827|2
1478|1828|2
1479|1829|2
1480|1830|2
1481|1831|2
1482|1832|2
1483|1833|2
1484|1834|2
1486|1836|1
3809|5181|1
1488|1838|1
1489|1839|1
2582|3564|2
2587|3572|2
1493|1843|2
3810|5182|1
1495|1845|2
1496|1846|2
1497|1847|2
1498|1848|2
1499|1849|2
1500|1850|2
1501|1851|2
1502|1852|2
1503|1853|2
1504|1854|2
1505|1855|2
1506|1856|2
1507|1857|2
1508|1858|2
1509|1859|2
1510|1860|2
1511|1861|2
1512|1862|2
1513|1863|2
1514|1864|2
1515|1865|2
1516|1866|2
1517|1867|2
3811|5183|1
1947|1916|2
1948|1942|1
1950|2026|1
1951|2027|1
1952|2028|1
1525|1875|2
1526|1876|2
1527|1877|2
1528|1878|2
1529|1879|2
1530|1880|2
1954|2462|2
1955|2461|2
1534|1884|2
1535|1885|2
1536|1886|2
1956|2463|2
1957|2464|2
3812|5184|1
1958|2465|2
4026|5910|2
1961|2467|2
1962|2468|2
1963|2469|2
1545|1895|2
1546|1896|2
1547|1897|2
2324|3299|1
2328|3239|2
2332|3302|2
1551|1901|2
1552|1902|2
1553|1903|2
1554|1904|2
1555|1905|2
1556|1906|2
1557|1907|2
1558|1908|2
1559|1909|2
3813|5185|1
1562|1912|2
1563|1913|2
1565|1915|2
3814|5186|1
1567|1917|2
1568|1918|2
1569|1919|2
1570|1920|2
1571|1921|2
3815|5187|1
1573|1923|2
1574|1924|2
1575|1925|2
1576|1926|2
1577|1927|2
1578|1928|2
1579|1929|2
1580|1930|2
1581|1931|2
1582|1932|2
1583|1933|2
