id|votacion_id|corporacion_id|tipo_comision_id|comision_id|activo|usercreated|usermodifed|created_at|updated_at
316|1406|NA|1|7|1|NA|NA|NA|NA
317|1407|NA|1|7|1|NA|NA|NA|NA
318|1408|NA|1|7|1|NA|NA|NA|NA
319|1409|NA|1|7|1|NA|NA|NA|NA
320|1410|NA|1|7|1|NA|NA|NA|NA
321|1436|1|1|7|1|NA|NA|NA|NA
8628|9697|2|1|1|1|NA|NA|NA|NA
8656|9612|2|1|7|1|NA|NA|NA|NA
520|2187|1|1|4|1|NA|NA|NA|NA
521|2188|1|1|4|1|NA|NA|NA|NA
2168|3591|1|1|1|1|NA|NA|NA|NA
338|1609|NA|1|4|1|NA|NA|NA|NA
339|1610|2|1|12|1|NA|NA|NA|NA
340|1631|2|1|1|1|NA|NA|NA|NA
341|1632|2|1|1|1|NA|NA|NA|NA
342|1640|2|1|1|1|NA|NA|NA|NA
343|1649|NA|1|1|1|NA|NA|NA|NA
344|1650|NA|1|1|1|NA|NA|NA|NA
345|1651|1|1|1|1|NA|NA|NA|NA
346|1652|1|1|1|1|NA|NA|NA|NA
347|1653|NA|1|1|1|NA|NA|NA|NA
348|1654|NA|1|1|1|NA|NA|NA|NA
349|1782|2|1|7|1|NA|NA|NA|NA
350|1783|2|1|7|1|NA|NA|NA|NA
351|1784|2|1|7|1|NA|NA|NA|NA
352|1790|2|1|1|1|NA|NA|NA|NA
3418|5341|NA|1|2|1|NA|NA|NA|NA
354|1792|2|1|1|1|NA|NA|NA|NA
355|1793|2|1|1|1|NA|NA|NA|NA
356|1794|2|1|1|1|NA|NA|NA|NA
357|1795|2|1|1|1|NA|NA|NA|NA
358|1796|2|1|1|1|NA|NA|NA|NA
359|1934|NA|1|7|1|NA|NA|NA|NA
362|1937|NA|1|7|1|NA|NA|NA|NA
363|1938|NA|1|7|1|NA|NA|NA|NA
364|1939|NA|1|7|1|NA|NA|NA|NA
365|1940|NA|1|7|1|NA|NA|NA|NA
366|1959|NA|1|5|1|NA|NA|NA|NA
367|1960|NA|1|5|1|NA|NA|NA|NA
368|1961|NA|1|5|1|NA|NA|NA|NA
369|1962|NA|1|5|1|NA|NA|NA|NA
3419|5342|NA|1|2|1|NA|NA|NA|NA
371|1986|2|1|11|1|NA|NA|NA|NA
372|1987|2|1|11|1|NA|NA|NA|NA
373|1988|2|1|11|1|NA|NA|NA|NA
374|1989|2|1|11|1|NA|NA|NA|NA
375|1990|2|1|11|1|NA|NA|NA|NA
376|1991|2|1|11|1|NA|NA|NA|NA
377|1992|2|1|11|1|NA|NA|NA|NA
378|1993|2|1|11|1|NA|NA|NA|NA
379|1994|NA|1|7|1|NA|NA|NA|NA
380|1995|NA|1|7|1|NA|NA|NA|NA
523|2190|NA|1|4|1|NA|NA|NA|NA
524|2191|NA|1|4|1|NA|NA|NA|NA
383|1998|NA|1|7|1|NA|NA|NA|NA
384|1999|2|1|7|1|NA|NA|NA|NA
385|2000|2|1|7|1|NA|NA|NA|NA
386|2001|2|1|7|1|NA|NA|NA|NA
387|2002|2|1|7|1|NA|NA|NA|NA
388|2003|NA|1|7|1|NA|NA|NA|NA
389|2004|NA|1|7|1|NA|NA|NA|NA
390|2005|NA|1|7|1|NA|NA|NA|NA
391|2006|2|1|7|1|NA|NA|NA|NA
392|2007|2|1|7|1|NA|NA|NA|NA
393|2008|2|1|7|1|NA|NA|NA|NA
394|2009|2|1|7|1|NA|NA|NA|NA
395|2010|NA|1|4|1|NA|NA|NA|NA
396|2011|NA|1|4|1|NA|NA|NA|NA
525|2192|NA|1|4|1|NA|NA|NA|NA
398|2013|NA|1|4|1|NA|NA|NA|NA
3420|5343|NA|1|2|1|NA|NA|NA|NA
3421|5344|NA|1|2|1|NA|NA|NA|NA
403|2018|NA|1|4|1|NA|NA|NA|NA
404|2021|2|1|4|1|NA|NA|NA|NA
405|2033|NA|1|5|1|NA|NA|NA|NA
406|2034|NA|1|5|1|NA|NA|NA|NA
407|2035|NA|1|10|1|NA|NA|NA|NA
408|2036|1|1|10|1|NA|NA|NA|NA
413|2062|NA|1|13|1|NA|NA|NA|NA
414|2063|NA|1|13|1|NA|NA|NA|NA
415|2064|NA|1|13|1|NA|NA|NA|NA
416|2065|NA|1|13|1|NA|NA|NA|NA
417|2068|NA|1|2|1|NA|NA|NA|NA
418|2069|NA|1|2|1|NA|NA|NA|NA
419|2070|1|1|2|1|NA|NA|NA|NA
420|2071|2|1|2|1|NA|NA|NA|NA
421|2072|NA|1|2|1|NA|NA|NA|NA
422|2073|NA|1|2|1|NA|NA|NA|NA
423|2074|2|1|2|1|NA|NA|NA|NA
424|2075|2|1|2|1|NA|NA|NA|NA
425|2076|2|1|2|1|NA|NA|NA|NA
426|2077|2|1|2|1|NA|NA|NA|NA
427|2078|NA|1|11|1|NA|NA|NA|NA
428|2079|NA|1|11|1|NA|NA|NA|NA
429|2080|NA|1|11|1|NA|NA|NA|NA
430|2081|NA|1|11|1|NA|NA|NA|NA
431|2082|NA|1|11|1|NA|NA|NA|NA
432|2083|NA|1|11|1|NA|NA|NA|NA
433|2084|NA|1|11|1|NA|NA|NA|NA
434|2085|2|1|11|1|NA|NA|NA|NA
435|2086|2|1|11|1|NA|NA|NA|NA
436|2087|2|1|11|1|NA|NA|NA|NA
