id|votacion_id|proyecto_ley_estado_id|activo|usercreated|usermodifed|created_at|updated_at
59530|9609|43579|1|NA|NA|NA|NA
55245|9383|43813|1|NA|NA|NA|NA
55246|8615|43029|1|NA|NA|NA|NA
64836|9572|44512|1|NA|NA|NA|NA
64837|9741|44502|1|NA|NA|NA|NA
55247|9019|43029|1|NA|NA|NA|NA
55248|9020|43029|1|NA|NA|NA|NA
55249|9018|43029|1|NA|NA|NA|NA
55250|9115|43813|1|NA|NA|NA|NA
64838|9740|44502|1|NA|NA|NA|NA
64839|9739|44502|1|NA|NA|NA|NA
116733|8585|42985|1|NA|NA|NA|NA
56265|2171|25346|1|NA|NA|NA|NA
56266|2169|25346|1|NA|NA|NA|NA
56267|2170|25346|1|NA|NA|NA|NA
13227|4955|30699|1|NA|NA|NA|NA
13228|4956|30699|1|NA|NA|NA|NA
13229|4045|30699|1|NA|NA|NA|NA
13230|6970|36837|1|NA|NA|NA|NA
13231|4957|30699|1|NA|NA|NA|NA
13232|4049|30699|1|NA|NA|NA|NA
16337|5287|27877|1|NA|NA|NA|NA
16338|5286|27877|1|NA|NA|NA|NA
16339|5288|27877|1|NA|NA|NA|NA
16340|5289|27877|1|NA|NA|NA|NA
16341|2251|25675|1|NA|NA|NA|NA
16342|2252|25675|1|NA|NA|NA|NA
116734|6857|36997|1|NA|NA|NA|NA
16790|2706|27817|1|NA|NA|NA|NA
16791|2700|27817|1|NA|NA|NA|NA
164|2358|25057|1|NA|NA|NA|NA
104716|13111|50348|1|NA|NA|NA|NA
189|5382|30235|1|NA|NA|NA|NA
190|5383|30235|1|NA|NA|NA|NA
205|2388|28640|1|NA|NA|NA|NA
223|6551|29535|1|NA|NA|NA|NA
227|2886|25558|1|NA|NA|NA|NA
239|3591|27417|1|NA|NA|NA|NA
241|2553|27878|1|NA|NA|NA|NA
242|2397|28155|1|NA|NA|NA|NA
247|2386|27417|1|NA|NA|NA|NA
252|3319|27651|1|NA|NA|NA|NA
256|1412|20778|1|NA|NA|NA|NA
259|1498|9717|1|NA|NA|NA|NA
275|3372|27389|1|NA|NA|NA|NA
278|4837|30033|1|NA|NA|NA|NA
279|6271|27583|1|NA|NA|NA|NA
287|3373|27389|1|NA|NA|NA|NA
288|3180|27651|1|NA|NA|NA|NA
289|3320|27651|1|NA|NA|NA|NA
291|2363|25058|1|NA|NA|NA|NA
293|2353|25056|1|NA|NA|NA|NA
55251|1533|28617|1|NA|NA|NA|NA
59531|10057|44226|1|NA|NA|NA|NA
116735|6858|36997|1|NA|NA|NA|NA
64842|9207|43493|1|NA|NA|NA|NA
299|3321|27651|1|NA|NA|NA|NA
64843|9206|43493|1|NA|NA|NA|NA
57800|9205|45515|1|NA|NA|NA|NA
302|3374|27389|1|NA|NA|NA|NA
57801|9183|45515|1|NA|NA|NA|NA
57802|9108|45515|1|NA|NA|NA|NA
57803|7235|39048|1|NA|NA|NA|NA
57804|7234|39048|1|NA|NA|NA|NA
56286|2173|25347|1|NA|NA|NA|NA
318|1497|9717|1|NA|NA|NA|NA
319|3375|27389|1|NA|NA|NA|NA
320|2994|28490|1|NA|NA|NA|NA
56287|2174|25347|1|NA|NA|NA|NA
56288|2172|25347|1|NA|NA|NA|NA
64844|10336|47127|1|NA|NA|NA|NA
104717|12971|49977|1|NA|NA|NA|NA
331|5366|30721|1|NA|NA|NA|NA
16813|2819|27610|1|NA|NA|NA|NA
371|3377|27979|1|NA|NA|NA|NA
372|1449|9698|1|NA|NA|NA|NA
16814|2871|27610|1|NA|NA|NA|NA
116736|6859|36997|1|NA|NA|NA|NA
116737|8324|42354|1|NA|NA|NA|NA
391|5365|30721|1|NA|NA|NA|NA
16815|2820|27610|1|NA|NA|NA|NA
400|5367|30721|1|NA|NA|NA|NA
114617|13498|50816|1|NA|NA|NA|NA
436|1443|9698|1|NA|NA|NA|NA
438|1652|27781|1|NA|NA|NA|NA
442|1445|9698|1|NA|NA|NA|NA
448|2105|25559|1|NA|NA|NA|NA
457|1454|9698|1|NA|NA|NA|NA
458|1708|25218|1|NA|NA|NA|NA
459|1708|25164|1|NA|NA|NA|NA
474|1448|9698|1|NA|NA|NA|NA
475|1460|10740|1|NA|NA|NA|NA
476|1460|10741|1|NA|NA|NA|NA
477|1493|9832|1|NA|NA|NA|NA
